#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Ilmenite: Ilmenite
#------------------------------------------
# energy, Ilmenite
 7171.83154,  0.97842478
 7173.12305,  0.99651394
 7174.43359,  1.01395891
 7175.76367,  1.02744587
 7177.11377,  1.03612166
 7178.48340,  1.04173070
 7179.87256,  1.04515142
 7181.28174,  1.04657505
 7182.70996,  1.04631720
 7184.15820,  1.04455314
 7185.62598,  1.04259400
 7187.11328,  1.04057945
 7188.62012,  1.03869240
 7190.14648,  1.03659101
 7191.69287,  1.03357030
 7193.25879,  1.02975194
 7194.84424,  1.02373834
 7196.44922,  1.01843430
 7198.07373,  1.01404282
 7199.71826,  1.00843406
 7201.38184,  1.00261517
 7203.06543,  0.99681007
 7204.76855,  0.99176241
 7206.49170,  0.98815667
 7208.23389,  0.98584605
 7209.99609,  0.98467169
 7211.77783,  0.98442499
 7213.57910,  0.98522061
 7215.39990,  0.98736188
 7217.24023,  0.99098580
 7219.10059,  0.99491425
 7220.98047,  0.99839532
 7222.87988,  1.00068838
 7224.79883,  1.00147909
 7226.73730,  1.00103970
 7228.69580,  0.99960258
 7230.67334,  0.99800252
 7232.67090,  0.99716276
 7234.68799,  0.99762982
 7236.72510,  0.99886922
 7238.78125,  0.99990630
 7240.85742,  0.99992818
 7242.95312,  0.99849688
 7245.06836,  0.99578539
 7247.20312,  0.99276540
 7249.35742,  0.99093428
 7251.53174,  0.99030042
 7253.72559,  0.99098557
 7255.93896,  0.99330339
 7258.17188,  0.99702658
 7260.42432,  1.00142291
 7262.69678,  1.00547478
 7264.98828,  1.00892286
 7267.29980,  1.01131822
 7269.63086,  1.01256276
 7271.98193,  1.01310972
 7274.35205,  1.01471369
 7276.74219,  1.01734879
 7279.15186,  1.01981760
 7281.58105,  1.02123279
 7284.02979,  1.02159662
 7286.49805,  1.02094722
 7288.98633,  1.01936457
 7291.49414,  1.01770377
 7294.02148,  1.01603834
 7296.56836,  1.01399179
 7299.13477,  1.01141038
 7301.72119,  1.00790020
 7304.32666,  1.00395147
 7306.95215,  0.99996672
 7309.59717,  0.99617364
 7312.26221,  0.99239840
 7314.94629,  0.98859279
 7317.65039,  0.98554836
 7320.37354,  0.98426971
