#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Maghemite: Maghemite
#------------------------------------------
# energy, Maghemite
 7125.37500,  0.69611976
 7125.62500,  0.71517289
 7125.87500,  0.73547663
 7126.12500,  0.75706831
 7126.37500,  0.78060429
 7126.62500,  0.80591703
 7126.87500,  0.83291627
 7127.12500,  0.86079771
 7127.37500,  0.88810633
 7127.62500,  0.91403613
 7127.87500,  0.93935056
 7128.12500,  0.96109813
 7128.37500,  0.97994331
 7128.62500,  0.99627487
 7128.87500,  1.00932353
 7129.12500,  1.02043628
 7129.37500,  1.03017729
 7129.62500,  1.03827481
 7129.87500,  1.04644077
 7130.12500,  1.05439624
 7130.37500,  1.06349022
 7130.62500,  1.07316072
 7130.87500,  1.08422049
 7131.12500,  1.09653169
 7131.37500,  1.10962081
 7131.62500,  1.12278838
 7131.87500,  1.13627152
 7132.12500,  1.14939907
 7132.37500,  1.16125862
 7132.62500,  1.17207820
 7132.87500,  1.18211339
 7133.12500,  1.18940202
 7133.37500,  1.19472466
 7133.62500,  1.19823358
 7133.87500,  1.19935782
 7134.12500,  1.19821828
 7134.37500,  1.19511766
 7134.62500,  1.19053837
 7134.87500,  1.18438769
 7135.12500,  1.17736187
 7135.37500,  1.16977270
 7135.62500,  1.16175055
 7135.87500,  1.15392388
 7136.12500,  1.14634832
 7136.37500,  1.13932236
 7136.62500,  1.13254216
 7136.87500,  1.12673463
 7137.12500,  1.12165909
 7137.37500,  1.11684631
 7137.62500,  1.11358508
 7137.87500,  1.11052924
 7138.12500,  1.10803674
 7138.37500,  1.10631833
 7138.62500,  1.10432688
 7138.87500,  1.10284712
 7139.12500,  1.10150373
 7139.37500,  1.09975028
 7139.62500,  1.09839661
 7139.87500,  1.09658604
 7140.12500,  1.09453070
 7140.37500,  1.09284040
 7140.62500,  1.09018660
 7140.87500,  1.08826298
 7141.12500,  1.08559662
 7141.37500,  1.08251273
 7141.62500,  1.07939810
 7141.87500,  1.07614654
 7142.12500,  1.07189047
 7142.37500,  1.06856751
 7142.62500,  1.06391355
 7142.87500,  1.06009588
 7143.12500,  1.05597333
 7143.37500,  1.05190196
 7143.62500,  1.04854923
 7143.87500,  1.04539224
 7144.12500,  1.04199057
 7144.37500,  1.03969877
 7144.62500,  1.03764290
 7144.87500,  1.03623810
 7145.12500,  1.03590590
 7145.37500,  1.03559287
 7145.62500,  1.03594937
 7145.87500,  1.03681376
 7146.12500,  1.03799881
 7146.37500,  1.03951671
 7146.62500,  1.04095723
 7146.87500,  1.04299110
 7147.12500,  1.04447006
 7147.37500,  1.04608231
 7147.62500,  1.04662667
 7147.87500,  1.04750716
 7148.12500,  1.04739178
 7148.37500,  1.04703318
 7148.62500,  1.04596310
 7148.87500,  1.04458698
 7149.12500,  1.04270605
 7149.37500,  1.04014312
 7149.62500,  1.03686799
 7149.87500,  1.03348365
 7150.12500,  1.02971625
 7150.37500,  1.02617660
 7150.62500,  1.02136122
 7150.87500,  1.01701235
 7151.12500,  1.01231461
 7151.37500,  1.00769387
 7151.62500,  1.00318522
 7151.87500,  0.99872602
 7152.12500,  0.99410153
 7152.37500,  0.98995990
 7152.62500,  0.98618459
 7152.87500,  0.98238017
 7153.12500,  0.97920583
 7153.37500,  0.97585136
 7153.62500,  0.97316134
 7153.87500,  0.97022009
 7154.12500,  0.96779390
 7154.37500,  0.96522123
 7154.62500,  0.96320871
 7154.87500,  0.96082395
 7155.12500,  0.95907900
 7155.37500,  0.95700572
 7155.62500,  0.95483178
 7155.87500,  0.95274785
 7156.12500,  0.95050142
 7156.37500,  0.94867277
 7156.62500,  0.94683502
 7156.87500,  0.94451893
 7157.12500,  0.94244376
 7157.37500,  0.94038905
 7157.62500,  0.93826440
 7157.87500,  0.93599000
 7158.12500,  0.93405973
 7158.37500,  0.93202861
 7158.62500,  0.92981846
 7158.87500,  0.92756894
 7159.12500,  0.92557553
 7159.37500,  0.92380768
 7159.62500,  0.92180352
 7159.87500,  0.91983727
 7160.12500,  0.91769771
 7160.37500,  0.91606284
 7160.62500,  0.91434023
