#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Mackinawite (aged): Mackinawite (aged)
#------------------------------------------
# energy, Mackinawite (aged)
 7563.90137,  0.99981808
 7568.03760,  1.00019492
 7572.19385,  1.00235607
 7576.36914,  1.00132622
 7580.56445,  1.00099539
 7584.77930,  1.00437647
 7589.01367,  1.00208501
 7593.26807,  1.00175815
 7597.54199,  1.00128677
 7601.83496,  1.00127687
 7606.14795,  1.00253501
 7610.48047,  1.00078856
 7614.83301,  1.00110187
 7619.20459,  0.99764217
 7623.59619,  0.99999339
 7628.00732,  1.00003075
 7632.43799,  0.99803713
 7636.88818,  0.99846165
 7641.35840,  0.99812431
 7645.84814,  0.99672587
 7650.35742,  0.99708704
 7654.88623,  0.99673195
 7659.43457,  0.99801987
 7664.00244,  0.99836599
 7668.59033,  0.99717454
 7673.19775,  0.99846754
 7677.82471,  0.99725842
 7682.47119,  0.99818273
 7687.13721,  0.99960117
 7691.82324,  0.99951047
 7696.52832,  1.00045238
 7701.25342,  1.00083679
 7705.99805,  0.99918042
 7710.76270,  1.00146178
 7715.54639,  1.00117037
 7720.35010,  1.00194530
 7725.17334,  1.00088885
 7730.01611,  1.00160571
 7734.87842,  1.00036033
 7739.76025,  1.00161614
 7744.66211,  1.00280802
 7749.58350,  1.00138329
 7754.52441,  1.00202765
 7759.48486,  1.00124911
 7764.46484,  1.00048715
 7769.46484,  0.99961305
 7774.48438,  1.00007430
 7779.52344,  0.99789385
 7784.58203,  1.00243686
 7789.66016,  0.99931188
 7794.75781,  0.99963846
 7799.87549,  1.00320329
 7805.01270,  0.99883798
 7810.16943,  1.00010862
 7815.34570,  0.99871405
 7820.54199,  1.00119115
 7825.75732,  0.99984512
 7830.99268,  1.00018598
 7836.24756,  1.00062418
 7841.52197,  0.99980321
 7846.81592,  1.00144118
 7852.12988,  1.00111896
 7857.46338,  1.00146506
 7862.81641,  0.99988016
 7868.18896,  1.00111722
 7873.58105,  0.99991696
 7878.99268,  1.00017149
 7884.42432,  1.00085995
 7889.87549,  1.00121592
 7895.34619,  1.00175811
 7900.83643,  1.00060379
 7906.34668,  1.00126477
 7911.87598,  1.00009563
 7917.42529,  1.00241499
 7922.99414,  1.00184150
 7928.58252,  1.00188680
 7934.19043,  1.00119920
 7939.81836,  1.00159722
 7945.46582,  1.00061996
 7951.13281,  1.00069615
 7956.81934,  1.00195664
 7962.52539,  1.00124873
 7968.25098,  1.00084337
 7973.99658,  0.99988627
 7979.76172,  1.00145872
 7985.54639,  0.99964177
 7991.35059,  1.00169604
 7997.17480,  1.00210948
 8003.01807,  0.99922144
 8008.88135,  1.00100808
 8014.76416,  1.00121735
 8020.66650,  0.99986218
 8026.58838,  1.00015540
 8032.53027,  0.99957428
 8038.49170,  0.99988356
 8044.47217,  0.99865400
 8050.47314,  0.99773902
 8056.49316,  0.99896248
 8062.53271,  0.99855421
 8068.59229,  0.99837550
 8074.67139,  0.99834367
 8080.77002,  0.99791093
 8086.88818,  0.99820709
 8093.02588,  0.99677641
 8099.18359,  0.99719424
 8105.36084,  0.99699953
