#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Pyrrhotite: Pyrrhotite
#------------------------------------------
# energy, Pyrrhotite
 7360.56396,  0.99919828
 7363.58154,  0.99906307
 7366.61914,  0.99888604
 7369.67627,  0.99855559
 7372.75293,  0.99802786
 7375.84961,  0.99757604
 7378.96533,  0.99760916
 7382.10107,  0.99776697
 7385.25635,  0.99793425
 7388.43115,  0.99823133
 7391.62598,  0.99858290
 7394.83984,  0.99889773
 7398.07373,  0.99936266
 7401.32715,  0.99991470
 7404.60010,  1.00017456
 7407.89258,  1.00062697
 7411.20459,  1.00132573
 7414.53662,  1.00161218
 7417.88818,  1.00206211
 7421.25928,  1.00233685
 7424.64990,  1.00242453
 7428.06006,  1.00259400
 7431.49023,  1.00212050
 7434.93994,  1.00194103
 7438.40918,  1.00159323
 7441.89795,  1.00136397
 7445.40625,  1.00097838
 7448.93457,  1.00051137
 7452.48193,  0.99995363
 7456.04932,  0.99974660
 7459.63623,  0.99941699
 7463.24316,  0.99885614
 7466.86914,  0.99842941
 7470.51514,  0.99839945
 7474.18018,  0.99819605
 7477.86523,  0.99832395
 7481.57031,  0.99776028
 7485.29443,  0.99794872
 7489.03857,  0.99786738
 7492.80176,  0.99809426
 7496.58496,  0.99830884
 7500.38770,  0.99859522
 7504.21045,  0.99889320
 7508.05225,  0.99927645
 7511.91406,  0.99950420
 7515.79541,  0.99999324
 7519.69629,  1.00015258
 7523.61670,  1.00016372
 7527.55713,  1.00040091
 7531.51660,  1.00047769
 7535.49609,  1.00039889
 7539.49512,  1.00026497
 7543.51367,  1.00027938
 7547.55176,  1.00011631
 7551.60986,  0.99980629
 7555.68750,  0.99963655
 7559.78467,  0.99948136
 7563.90137,  0.99914737
 7568.03760,  0.99917585
 7572.19385,  0.99904553
 7576.36914,  0.99882555
 7580.56445,  0.99879697
 7584.77930,  0.99873115
 7589.01367,  0.99866987
 7593.26807,  0.99866201
 7597.54199,  0.99879663
 7601.83496,  0.99878087
 7606.14795,  0.99887260
 7610.48047,  0.99894406
 7614.83301,  0.99912752
 7619.20459,  0.99939608
 7623.59619,  0.99973650
 7628.00732,  1.00005430
 7632.43799,  0.99997692
 7636.88818,  1.00016411
 7641.35840,  1.00031431
 7645.84814,  1.00018553
 7650.35742,  1.00023315
 7654.88623,  1.00041858
 7659.43457,  1.00071324
 7664.00244,  1.00060163
 7668.59033,  1.00014856
 7673.19775,  1.00017822
 7677.82471,  1.00035422
 7682.47119,  1.00023457
 7687.13721,  1.00024410
 7691.82324,  1.00034663
 7696.52832,  1.00015065
 7701.25342,  1.00010262
 7705.99805,  1.00045154
 7710.76270,  1.00005234
 7715.54639,  1.00029952
 7720.35010,  1.00046759
 7725.17334,  1.00019988
 7730.01611,  1.00036891
 7734.87842,  1.00038531
 7739.76025,  1.00008429
 7744.66211,  1.00018552
 7749.58350,  1.00034176
 7754.52441,  1.00022706
 7759.48486,  1.00025319
 7764.46484,  1.00039013
 7769.46484,  1.00033525
 7774.48438,  1.00044799
 7779.52344,  1.00044681
 7784.58203,  1.00042384
 7789.66016,  1.00055693
 7794.75781,  1.00068277
 7799.87549,  1.00056345
 7805.01270,  1.00066344
 7810.16943,  1.00038115
 7815.34570,  1.00040035
 7820.54199,  1.00049537
 7825.75732,  1.00028386
 7830.99268,  1.00025489
 7836.24756,  1.00011801
 7841.52197,  1.00019124
 7846.81592,  1.00005933
 7852.12988,  0.99995092
 7857.46338,  0.99987387
 7862.81641,  0.99972452
 7868.18896,  0.99955115
 7873.58105,  0.99941645
 7878.99268,  0.99930582
 7884.42432,  0.99934183
 7889.87549,  0.99928592
 7895.34619,  0.99922823
 7900.83643,  0.99943942
 7906.34668,  0.99926685
 7911.87598,  0.99958631
 7917.42529,  0.99935453
 7922.99414,  0.99966038
 7928.58252,  0.99949539
 7934.19043,  0.99986132
 7939.81836,  0.99986280
 7945.46582,  1.00016290
 7951.13281,  1.00021675
 7956.81934,  1.00021197
 7962.52539,  1.00026240
 7968.25098,  1.00032951
 7973.99658,  1.00044015
 7979.76172,  1.00021250
 7985.54639,  1.00016979
 7991.35059,  1.00020024
 7997.17480,  1.00011483
 8003.01807,  1.00018992
 8008.88135,  1.00008411
 8014.76416,  1.00027037
 8020.66650,  1.00044261
 8026.58838,  1.00040464
 8032.53027,  1.00038198
 8038.49170,  1.00048743
 8044.47217,  1.00043533
 8050.47314,  1.00047373
 8056.49316,  1.00031822
 8062.53271,  0.99997066
 8068.59229,  1.00007089
 8074.67139,  0.99968903
 8080.77002,  0.99964300
 8086.88818,  0.99962215
 8093.02588,  0.99956318
 8099.18359,  0.99938726
 8105.36084,  0.99937512
