#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#2L-Fhy: 2L-Fhy
#------------------------------------------
# energy, 2L-Fhy
 7181.28174,  1.02106823
 7182.70996,  1.02361081
 7184.15820,  1.02460117
 7185.62598,  1.02418997
 7187.11328,  1.02371399
 7188.62012,  1.02372146
 7190.14648,  1.02292924
 7191.69287,  1.02092392
 7193.25879,  1.01971337
 7194.84424,  1.01765109
 7196.44922,  1.01541844
 7198.07373,  1.01358447
 7199.71826,  1.01049311
 7201.38184,  1.00866231
 7203.06543,  1.00568922
 7204.76855,  1.00254237
 7206.49170,  0.99877674
 7208.23389,  0.99500729
 7209.99609,  0.99163337
 7211.77783,  0.98825232
 7213.57910,  0.98575122
 7215.39990,  0.98349640
 7217.24023,  0.98243046
 7219.10059,  0.98182340
 7220.98047,  0.98185894
 7222.87988,  0.98127535
 7224.79883,  0.98119340
 7226.73730,  0.98152555
 7228.69580,  0.98103823
 7230.67334,  0.98040145
 7232.67090,  0.98037106
 7234.68799,  0.97955483
 7236.72510,  0.97876336
 7238.78125,  0.97857398
 7240.85742,  0.97810599
 7242.95312,  0.97838332
 7245.06836,  0.97895702
 7247.20312,  0.98046788
 7249.35742,  0.98303796
 7251.53174,  0.98716513
 7253.72559,  0.98886921
 7255.93896,  0.99327781
 7258.17188,  0.99812791
 7260.42432,  1.00210446
 7262.69678,  1.00085817
 7264.98828,  1.00770334
 7267.29980,  1.01086189
 7269.63086,  1.01285515
 7271.98193,  1.01403300
 7274.35205,  1.01445343
 7276.74219,  1.01451353
 7279.15186,  1.01440020
 7281.58105,  1.01338718
 7284.02979,  1.01148422
 7286.49805,  1.00972151
 7288.98633,  1.00770366
 7291.49414,  1.00493474
 7294.02148,  1.00264319
 7296.56836,  0.99964035
 7299.13477,  0.99796800
 7301.72119,  0.99663725
 7304.32666,  0.99547790
 7306.95215,  0.99466431
 7309.59717,  0.99465662
 7312.26221,  0.99481221
 7314.94629,  0.99543919
 7317.65039,  0.99601336
 7320.37354,  0.99686453
 7323.11670,  0.99769441
 7325.87988,  0.99824372
 7328.66211,  0.99903091
 7331.46436,  0.99903339
 7334.28564,  0.99893817
 7337.12695,  0.99886102
 7339.98828,  0.99860432
 7342.86865,  0.99780807
 7345.76855,  0.99707213
 7348.68848,  0.99684028
 7351.62793,  0.99606585
 7354.58691,  0.99589649
 7357.56543,  0.99570033
 7360.56396,  0.99533680
 7363.58154,  0.99583956
 7366.61914,  0.99691769
 7369.67627,  0.99769396
 7372.75293,  0.99892941
 7375.84961,  0.99923128
 7378.96533,  0.99974684
 7382.10107,  1.00037450
 7385.25635,  1.00099560
 7388.43115,  1.00157936
 7391.62598,  1.00184641
 7394.83984,  1.00229907
 7398.07373,  1.00299449
 7401.32715,  1.00281763
 7404.60010,  1.00258945
 7407.89258,  1.00271830
 7411.20459,  1.00177417
 7414.53662,  1.00117687
 7417.88818,  1.00072206
 7421.25928,  0.99908482
 7424.64990,  0.99815004
 7428.06006,  0.99742302
 7431.49023,  0.99640971
 7434.93994,  0.99671101
 7438.40918,  0.99693734
 7441.89795,  0.99625562
 7445.40625,  0.99631870
 7448.93457,  0.99664125
 7452.48193,  0.99701726
 7456.04932,  0.99745679
 7459.63623,  0.99785235
 7463.24316,  0.99789631
 7466.86914,  0.99795633
 7470.51514,  0.99854060
 7474.18018,  0.99875636
 7477.86523,  0.99843750
 7481.57031,  0.99868431
 7485.29443,  0.99845141
 7489.03857,  0.99857564
 7492.80176,  0.99856629
 7496.58496,  0.99869506
 7500.38770,  0.99872402
 7504.21045,  0.99873750
 7508.05225,  0.99871726
 7511.91406,  0.99810283
 7515.79541,  0.99793545
 7519.69629,  0.99819968
 7523.61670,  0.99834724
 7527.55713,  0.99906120
 7531.51660,  0.99986692
 7535.49609,  0.99988773
 7539.49512,  1.00022632
 7543.51367,  1.00004646
 7547.55176,  0.99986260
 7551.60986,  0.99983592
 7555.68750,  0.99943513
 7559.78467,  0.99940515
 7563.90137,  0.99930840
 7568.03760,  0.99929274
 7572.19385,  0.99910228
 7576.36914,  0.99908099
 7580.56445,  0.99910839
 7584.77930,  0.99916966
 7589.01367,  0.99927443
 7593.26807,  0.99913761
 7597.54199,  0.99938621
 7601.83496,  0.99912560
 7606.14795,  0.99970078
 7610.48047,  0.99982862
 7614.83301,  1.00008396
 7619.20459,  1.00024630
 7623.59619,  1.00193860
 7628.00732,  0.99775724
 7632.43799,  1.00157547
 7636.88818,  0.99990699
 7641.35840,  0.99976878
 7645.84814,  0.99946440
 7650.35742,  0.99995141
 7654.88623,  1.00017655
 7659.43457,  1.00020248
 7664.00244,  1.00059304
 7668.59033,  1.00025641
 7673.19775,  1.00079188
 7677.82471,  1.00079160
 7682.47119,  1.00054162
 7687.13721,  1.00042445
 7691.82324,  1.00081924
