#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Green Rust - Sulfate: Green Rust - Sulfate
#------------------------------------------
# energy, Green Rust - Sulfate
 7130.50000,  1.15895812
 7130.75000,  1.14761636
 7131.00000,  1.13846126
 7131.25000,  1.12745263
 7131.50000,  1.11805997
 7131.75000,  1.10827660
 7132.00000,  1.10005204
 7132.25000,  1.09119220
 7132.50000,  1.08319894
 7132.75000,  1.07559374
 7133.00000,  1.06842636
 7133.25000,  1.06149675
 7133.50000,  1.05518556
 7133.75000,  1.04935362
 7134.00000,  1.04429325
 7134.25000,  1.03933756
 7134.50000,  1.03430080
 7134.75000,  1.03048480
 7135.00000,  1.02724282
 7135.25000,  1.02374311
 7135.50000,  1.02147096
 7135.75000,  1.01888869
 7136.00000,  1.01697533
 7136.25000,  1.01490272
 7136.50000,  1.01342598
 7136.75000,  1.01223440
 7137.00000,  1.01119296
 7137.25000,  1.01089207
 7137.50000,  1.01040984
 7137.75000,  1.01060633
 7138.00000,  1.00972658
 7138.25000,  1.00974089
 7138.50000,  1.01009776
 7138.75000,  1.00971562
 7139.00000,  1.00994439
 7139.25000,  1.00983652
 7139.50000,  1.00998278
 7139.75000,  1.00940364
 7140.00000,  1.00908684
 7140.25000,  1.00858025
 7140.50000,  1.00710211
 7140.75000,  1.00600211
 7141.00000,  1.00457181
 7141.25000,  1.00194413
 7141.50000,  0.99910408
 7141.75000,  0.99751057
 7142.00000,  0.99442007
 7142.25000,  0.99129947
 7142.50000,  0.98761700
 7142.75000,  0.98433845
 7143.00000,  0.98148006
 7143.25000,  0.97780316
 7143.50000,  0.97427713
 7143.75000,  0.97098564
 7144.00000,  0.96714374
 7144.25000,  0.96374044
 7144.50000,  0.95957490
 7144.75000,  0.95637718
 7145.00000,  0.95263562
 7145.25000,  0.94889917
 7145.50000,  0.94491974
 7145.75000,  0.94117216
 7146.00000,  0.93766540
 7146.25000,  0.93397540
 7146.50000,  0.93044939
 7146.75000,  0.92752271
 7147.00000,  0.92369885
 7147.25000,  0.92093700
 7147.50000,  0.91775006
 7147.75000,  0.91576585
 7148.00000,  0.91233060
 7148.25000,  0.90959167
 7148.50000,  0.90771449
 7148.75000,  0.90535984
 7149.00000,  0.90250986
 7149.25000,  0.90051166
 7149.50000,  0.89847902
 7149.75000,  0.89648009
 7150.00000,  0.89506682
 7150.25000,  0.89358424
 7150.50000,  0.89195470
 7150.75000,  0.89061540
 7151.00000,  0.88930694
 7151.25000,  0.88811945
 7151.50000,  0.88728228
 7151.75000,  0.88658763
 7152.00000,  0.88596529
 7152.25000,  0.88511657
 7152.50000,  0.88447327
 7152.75000,  0.88463932
 7153.00000,  0.88411619
 7153.25000,  0.88421393
 7153.50000,  0.88447090
 7153.75000,  0.88455967
 7154.00000,  0.88500557
 7154.25000,  0.88523767
 7154.50000,  0.88565150
 7154.75000,  0.88615406
 7155.00000,  0.88689301
 7155.25000,  0.88841894
 7155.50000,  0.88903516
 7155.75000,  0.89029022
 7156.00000,  0.89169155
 7156.25000,  0.89348129
 7156.50000,  0.89498829
 7156.75000,  0.89648597
 7157.00000,  0.89828463
