#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Siderite-s: Siderite-s
#------------------------------------------
# energy, Siderite-s
 7136.00000,  1.06117284
 7136.25000,  1.05836114
 7136.50000,  1.05575830
 7136.75000,  1.05322346
 7137.00000,  1.05122152
 7137.25000,  1.04906874
 7137.50000,  1.04637632
 7137.75000,  1.04444331
 7138.00000,  1.04240244
 7138.25000,  1.04044104
 7138.50000,  1.03827352
 7138.75000,  1.03674370
 7139.00000,  1.03460528
 7139.25000,  1.03320464
 7139.50000,  1.03135494
 7139.75000,  1.02939975
 7140.00000,  1.02692901
 7140.25000,  1.02586299
 7140.50000,  1.02404105
 7140.75000,  1.02283281
 7141.00000,  1.02075398
 7141.25000,  1.01935735
 7141.50000,  1.01714655
 7141.75000,  1.01530701
 7142.00000,  1.01349270
 7142.25000,  1.01121861
 7142.50000,  1.00938312
 7142.75000,  1.00712703
 7143.00000,  1.00479107
 7143.25000,  1.00228577
 7143.50000,  0.99994400
 7143.75000,  0.99683664
 7144.00000,  0.99454654
 7144.25000,  0.99235329
 7144.50000,  0.98936788
 7144.75000,  0.98659219
 7145.00000,  0.98399758
 7145.25000,  0.98105113
 7145.50000,  0.97839645
 7145.75000,  0.97574707
 7146.00000,  0.97329280
 7146.25000,  0.97104398
 7146.50000,  0.96829706
 7146.75000,  0.96594028
 7147.00000,  0.96357988
 7147.25000,  0.96103261
 7147.50000,  0.95842604
 7147.75000,  0.95635018
 7148.00000,  0.95363413
 7148.25000,  0.95088468
 7148.50000,  0.94858503
 7148.75000,  0.94570429
 7149.00000,  0.94389113
 7149.25000,  0.94047680
 7149.50000,  0.93803786
 7149.75000,  0.93584725
 7150.00000,  0.93375841
 7150.25000,  0.93111607
 7150.50000,  0.92899591
 7150.75000,  0.92666763
 7151.00000,  0.92529017
 7151.25000,  0.92304079
 7151.50000,  0.92135968
 7151.75000,  0.92009810
 7152.00000,  0.91851107
 7152.25000,  0.91708842
 7152.50000,  0.91629769
 7152.75000,  0.91538648
 7153.00000,  0.91460028
 7153.25000,  0.91355312
 7153.50000,  0.91297730
 7153.75000,  0.91281342
 7154.00000,  0.91209728
 7154.25000,  0.91263409
 7154.50000,  0.91221256
 7154.75000,  0.91221835
 7155.00000,  0.91192390
 7155.25000,  0.91292205
 7155.50000,  0.91251054
 7155.75000,  0.91313200
 7156.00000,  0.91334860
 7156.25000,  0.91416858
 7156.50000,  0.91500723
 7156.75000,  0.91575443
 7157.00000,  0.91691833
 7157.25000,  0.91726228
 7157.50000,  0.91807575
 7157.75000,  0.91924465
 7158.00000,  0.92025209
 7158.25000,  0.92124719
 7158.50000,  0.92245618
 7158.75000,  0.92346369
 7159.00000,  0.92415437
 7159.25000,  0.92597193
 7159.50000,  0.92707436
 7159.75000,  0.92831148
 7160.00000,  0.92959478
 7161.09473,  0.93579853
 7162.20947,  0.94311628
 7163.34326,  0.95107850
 7164.49707,  0.95988540
 7165.67041,  0.96911312
 7166.86377,  0.97805880
 7168.07617,  0.98617436
 7169.30859,  0.99430619
 7170.56006,  1.00176857
 7171.83154,  1.00865557
 7173.12305,  1.01380321
 7174.43359,  1.01795307
 7175.76367,  1.02092011
 7177.11377,  1.02139497
 7178.48340,  1.02085272
 7179.87256,  1.01977737
 7181.28174,  1.01847868
 7182.70996,  1.01649430
 7184.15820,  1.01470202
 7185.62598,  1.01273829
 7187.11328,  1.01126890
 7188.62012,  1.01010734
 7190.14648,  1.00879544
 7191.69287,  1.00699185
 7193.25879,  1.00525038
 7194.84424,  1.00390689
 7196.44922,  1.00239006
 7198.07373,  1.00118203
 7199.71826,  0.99996733
 7201.38184,  0.99878096
 7203.06543,  0.99719025
 7204.76855,  0.99550875
 7206.49170,  0.99361687
 7208.23389,  0.99153527
 7209.99609,  0.98919404
 7211.77783,  0.98794935
 7213.57910,  0.98673350
 7215.39990,  0.98567795
 7217.24023,  0.98523124
 7219.10059,  0.98521185
 7220.98047,  0.98541427
 7222.87988,  0.98553057
 7224.79883,  0.98645913
 7226.73730,  0.98684328
 7228.69580,  0.98760620
 7230.67334,  0.98837500
 7232.67090,  0.98929488
 7234.68799,  0.99041131
 7236.72510,  0.99200575
 7238.78125,  0.99363777
 7240.85742,  0.99532529
