#saved Fri Feb 13 20:33:51 2026
#saving x array=energy, y array=flat
#GP17_station5_19119_9cm_021_A_fl.avg: GP17_station5_19119_9cm_021_A_fl.avg
#------------------------------------------
# energy, GP17_station5_19119_9cm_021_A_fl.avg
 7137.20000,  1.16436307
 7137.40000,  1.15878388
 7137.60000,  1.14971934
 7137.80000,  1.14265749
 7138.00000,  1.13561777
 7138.20000,  1.13127781
 7138.40000,  1.12571520
 7138.60000,  1.12161865
 7138.80000,  1.11633265
 7139.00000,  1.11402857
 7139.20000,  1.10859872
 7139.40000,  1.10530987
 7139.60000,  1.09835863
 7139.75000,  1.09553515
 7140.37000,  1.08883167
 7141.01000,  1.07714769
 7141.67000,  1.07499446
 7142.34000,  1.06826804
 7143.04000,  1.05997663
 7143.75000,  1.05445893
 7144.49000,  1.04717706
 7145.24000,  1.03998019
 7146.01000,  1.03723538
 7146.80000,  1.03087100
 7147.61000,  1.01945416
 7148.44000,  1.00228780
 7149.29000,  0.97949361
 7150.15000,  0.95407356
 7151.04000,  0.92664035
 7151.95000,  0.90496479
 7152.87000,  0.88568117
 7153.81000,  0.86933372
 7154.77000,  0.86121684
 7155.76000,  0.85342140
 7156.76000,  0.84874260
 7157.77000,  0.84533819
 7158.81000,  0.84425236
 7159.87000,  0.84580392
 7160.95000,  0.84903022
 7162.04000,  0.85480333
 7163.16000,  0.86407889
 7164.29000,  0.87591230
 7165.44000,  0.89145080
 7166.61000,  0.90281638
 7167.81000,  0.91752947
 7169.02000,  0.93124864
 7170.24000,  0.94610937
 7171.49000,  0.96094289
 7172.76000,  0.97708042
 7174.04000,  0.99458078
 7175.35000,  1.01332633
 7176.67000,  1.03134901
 7178.02000,  1.04220222
 7179.38000,  1.04952213
 7180.76000,  1.05587224
 7182.16000,  1.06034523
 7183.58000,  1.06312920
 7185.02000,  1.06201674
 7186.47000,  1.06064608
 7187.95000,  1.05740583
 7189.45000,  1.05287485
 7190.96000,  1.04718941
 7192.49000,  1.04316194
 7194.05000,  1.03763550
 7195.62000,  1.03296280
 7197.21000,  1.02659547
 7198.82000,  1.02002721
 7200.45000,  1.01134384
 7202.10000,  1.00629895
 7203.76000,  0.99700697
 7205.45000,  0.99253937
 7207.15000,  0.98554522
 7208.88000,  0.98228557
 7210.62000,  0.97841352
 7212.38000,  0.97599463
 7214.16000,  0.97409945
 7215.96000,  0.97266712
 7217.78000,  0.97340159
 7219.62000,  0.97498061
 7221.48000,  0.97687860
 7223.35000,  0.97993448
 7225.25000,  0.98172906
 7227.17000,  0.98129218
 7229.10000,  0.97965087
 7231.05000,  0.97885404
 7233.02000,  0.97788375
 7235.01000,  0.97673444
 7237.02000,  0.97692749
 7239.05000,  0.98009492
 7241.10000,  0.98198791
 7243.17000,  0.98845961
 7245.25000,  0.99267565
 7247.36000,  0.99702439
 7249.48000,  1.00025156
 7251.63000,  1.00473446
 7253.79000,  1.00977759
 7255.97000,  1.01250058
 7258.17000,  1.01696413
 7260.39000,  1.01989863
 7262.63000,  1.02321825
 7264.88000,  1.02425444
 7267.16000,  1.02472612
 7269.46000,  1.02382359
 7271.77000,  1.02168322
 7274.10000,  1.02128884
 7276.46000,  1.02082778
 7278.83000,  1.01920629
 7281.22000,  1.01784809
 7283.63000,  1.01562458
 7286.06000,  1.01239744
 7288.51000,  1.00895776
 7290.97000,  1.00575174
 7293.46000,  1.00262829
 7295.96000,  1.00046319
 7298.49000,  0.99821467
 7301.03000,  0.99467282
 7303.59000,  0.99308149
 7306.17000,  0.99181969
 7308.77000,  0.99047248
 7311.39000,  0.98953222
 7314.03000,  0.99204720
 7316.69000,  0.99282256
 7319.37000,  0.99355117
 7322.06000,  0.99661002
 7324.78000,  1.00012189
 7327.51000,  1.00147726
 7330.26000,  1.00275817
 7333.04000,  1.00428180
 7335.83000,  1.00513709
 7338.64000,  1.00394835
 7341.46000,  1.00331389
 7344.31000,  1.00320422
 7347.18000,  1.00222886
 7350.07000,  1.00187597
 7352.97000,  1.00212156
 7355.90000,  1.00186838
 7358.84000,  1.00035479
 7361.80000,  0.99998918
 7364.78000,  0.99972038
 7367.78000,  0.99895644
 7370.80000,  0.99937913
 7373.84000,  1.00005903
 7376.90000,  1.00157147
 7379.97000,  1.00373204
 7383.07000,  1.00549877
 7386.19000,  1.00668725
 7389.32000,  1.00694709
 7392.47000,  1.00706017
 7395.64000,  1.00677751
 7398.83000,  1.00603823
 7402.04000,  1.00524064
 7405.27000,  1.00351614
 7408.52000,  1.00072089
 7411.79000,  0.99936651
 7415.07000,  0.99726595
 7418.38000,  0.99563434
 7421.70000,  0.99379313
 7425.05000,  0.99399754
 7428.41000,  0.99409191
 7431.79000,  0.99290514
 7435.19000,  0.99298209
 7438.61000,  0.99265750
 7442.05000,  0.99343061
 7445.51000,  0.99418940
 7448.98000,  0.99491551
 7452.48000,  0.99617117
 7455.99000,  0.99723921
 7459.53000,  0.99771923
 7463.08000,  0.99916784
 7466.65000,  0.99990493
 7470.24000,  1.00096503
 7473.85000,  1.00234812
 7477.48000,  1.00227276
 7481.13000,  1.00213861
 7484.80000,  1.00111027
 7488.48000,  1.00069633
 7492.19000,  0.99963328
 7495.91000,  0.99973228
 7499.66000,  0.99774373
 7503.42000,  0.99758107
 7507.20000,  0.99674538
 7511.00000,  0.99692952
 7514.82000,  0.99665081
 7518.66000,  0.99574325
 7522.52000,  0.99614313
 7526.39000,  0.99673122
 7530.29000,  0.99702955
 7534.20000,  0.99755477
 7538.14000,  0.99857023
 7542.09000,  0.99982914
 7546.06000,  1.00031520
 7550.05000,  1.00024968
 7554.06000,  0.99987598
 7558.09000,  1.00001838
 7562.14000,  0.99948188
 7566.21000,  0.99932867
 7570.29000,  0.99856125
 7574.40000,  0.99791869
 7578.52000,  0.99760237
 7582.67000,  0.99699039
 7586.83000,  0.99710848
 7591.01000,  0.99727776
 7595.21000,  0.99693945
 7599.43000,  0.99728296
 7603.67000,  0.99779929
 7607.93000,  0.99665170
 7612.20000,  0.99756181
 7616.50000,  0.99858540
 7620.81000,  0.99897795
 7625.15000,  0.99968860
 7629.50000,  1.00029928
 7633.87000,  0.99986548
 7638.26000,  1.00087674
 7642.67000,  1.00077709
 7647.10000,  1.00090533
 7651.55000,  1.00147719
 7656.02000,  1.00193387
 7660.50000,  1.00172612
 7665.01000,  1.00104508
 7669.54000,  1.00068029
 7674.08000,  1.00087918
 7678.64000,  1.00022697
 7683.22000,  1.00065993
 7687.82000,  0.99974935
 7692.44000,  1.00017838
 7697.08000,  1.00050306
 7701.74000,  1.00094464
 7706.42000,  1.00035238
 7711.11000,  1.00043978
 7715.83000,  1.00099403
 7720.56000,  1.00114908
 7725.31000,  1.00039743
 7730.08000,  1.00093537
 7734.88000,  1.00154721
 7739.69000,  1.00130059
 7744.52000,  1.00165746
 7749.36000,  1.00303127
 7754.23000,  1.00192294
 7759.12000,  1.00189378
 7764.02000,  1.00231166
 7768.95000,  1.00205635
 7773.89000,  1.00179991
