spectrum,cluster,r_factor,r_factor_w,chi_sq,weight_sum,n_refs,Biotite,Mackinawite (aged),Siderite-s,Hornblende,Augite,Mackinawite,Siderite-n,Vivianite,6L-Fhy,Ferrosmectite,Maghemite,Pyrrhotite,2L-Fhy,Ilmenite,Jarosite,Green Rust - Carbonate,Green Rust - Sulfate,Hematite,Nontronite,Lepidocrocite,Pyrite,Hematite on sand,2L-Fhy on sand,FeS,Schwertmannite,Goethite
FeXANES_GT15_flakydark_Fe_4.001,1,0.0083,0.0090,0.0001,1.0112,3,0.3040,0.0000,0.5577,0.0000,0.1383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flakydark_Fe_5.001,3,0.0119,0.0127,0.0001,1.0035,3,0.5015,0.1559,0.3426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_flakydark_Fe_6.001,3,0.0144,0.0156,0.0002,1.0192,3,0.4411,0.2296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_1.001,3,0.0287,0.0311,0.0009,1.0014,3,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,0.2035,0.0000,0.0000,0.0000,0.0000,0.3351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_2.001,3,0.0305,0.0333,0.0009,1.0086,3,0.4189,0.0000,0.0000,0.0000,0.0000,0.0000,0.1811,0.0000,0.0000,0.0000,0.0000,0.4001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_3.001,3,0.0256,0.0282,0.0008,0.9954,3,0.4081,0.0000,0.0000,0.0000,0.0000,0.0000,0.2962,0.0000,0.0000,0.0000,0.0000,0.2957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_4.001,1,0.0115,0.0120,0.0001,1.0072,3,0.4542,0.0000,0.4657,0.0801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_5.001,1,0.0113,0.0119,0.0001,1.0180,3,0.3425,0.0000,0.4951,0.1623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_rectangles_Fe_6.001,1,0.0110,0.0118,0.0001,1.0042,3,0.4886,0.0000,0.3123,0.0000,0.0000,0.0000,0.0000,0.0000,0.1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_1.001,1,0.0117,0.0132,0.0001,1.0270,3,0.0000,0.3522,0.0000,0.0000,0.4420,0.0000,0.0000,0.2057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_10.001,1,0.0179,0.0184,0.0004,1.0518,3,0.1022,0.0919,0.0000,0.0000,0.8060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_11.001,5,0.0106,0.0118,0.0001,1.0549,3,0.0000,0.0000,0.3627,0.0000,0.4969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_12.001,5,0.0285,0.0320,0.0008,1.0134,3,0.0000,0.4696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0616,0.0000,0.0000,0.0000,0.0000,0.4688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_13.001,5,0.0312,0.0357,0.0011,0.9900,2,0.0000,0.5006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4994,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_14.001,3,0.0190,0.0198,0.0005,1.0327,3,0.8237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1155,0.0608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_15.001,2,0.0195,0.0225,0.0004,1.0062,2,0.0000,0.2538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_16.001,2,0.0100,0.0103,0.0001,1.0012,3,0.0000,0.0000,0.0000,0.4070,0.3532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FeXANES_GT15_super_dark_Fe_17.001,2,0.0116,0.0122,0.0001,1.0341,3,0.0000,0.0000,0.0000,0.0000,0.2584,0.0000,0.0000,0.0000,0.6407,0.1008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
