#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Green Rust - Carbonate: Green Rust - Carbonate
#------------------------------------------
# energy, Green Rust - Carbonate
 7979.76172,  1.28657858
 7985.54639,  1.28906945
 7991.35059,  1.29046116
 7997.17480,  1.29250419
 8003.01807,  1.29497006
 8008.88135,  1.29742397
 8014.76416,  1.29992671
 8020.66650,  1.30215420
 8026.58838,  1.30448111
 8032.53027,  1.30704030
 8038.49170,  1.31011538
 8044.47217,  1.31209855
 8050.47314,  1.31367676
 8056.49316,  1.31683757
 8062.53271,  1.31991274
 8068.59229,  1.32291742
 8074.67139,  1.32541055
 8080.77002,  1.32786881
 8086.88818,  1.33033682
 8093.02588,  1.33317223
 8099.18359,  1.33559298
 8105.36084,  1.33824201
