#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Mackinawite: Mackinawite
#------------------------------------------
# energy, Mackinawite
 7152.75000,  1.00172837
 7153.00000,  0.99933301
 7153.25000,  0.99703299
 7153.50000,  0.99460436
 7153.75000,  0.99231330
 7154.00000,  0.99009493
 7154.25000,  0.98797569
 7154.50000,  0.98562966
 7154.75000,  0.98355844
 7155.00000,  0.98171051
 7155.25000,  0.98004832
 7155.50000,  0.97824242
 7155.75000,  0.97663921
 7156.00000,  0.97554009
 7156.25000,  0.97362581
 7156.50000,  0.97173359
 7156.75000,  0.97081091
 7157.00000,  0.96884841
 7157.25000,  0.96794075
 7157.50000,  0.96657522
 7157.75000,  0.96583132
 7158.00000,  0.96432676
 7158.25000,  0.96315261
 7158.50000,  0.96260148
 7158.75000,  0.96190491
 7159.00000,  0.96157955
 7159.25000,  0.96076193
 7159.50000,  0.96036243
 7159.75000,  0.95995715
 7160.00000,  0.95972872
 7161.09473,  0.95815006
 7162.20947,  0.95727770
 7163.34326,  0.95666494
 7164.49707,  0.95595069
 7165.67041,  0.95600510
 7166.86377,  0.95605694
 7168.07617,  0.95703956
 7169.30859,  0.95835953
 7170.56006,  0.96101339
 7171.83154,  0.96348866
 7173.12305,  0.96635668
 7174.43359,  0.97031339
 7175.76367,  0.97607174
 7177.11377,  0.98376402
 7178.48340,  0.99374895
 7179.87256,  1.00560313
 7181.28174,  1.01878096
 7182.70996,  1.03264003
 7184.15820,  1.04624155
 7185.62598,  1.05839596
 7187.11328,  1.06873053
 7188.62012,  1.07736065
 7190.14648,  1.08330522
 7191.69287,  1.08721029
 7193.25879,  1.08906707
 7194.84424,  1.08978971
 7196.44922,  1.08921287
 7198.07373,  1.08706986
 7199.71826,  1.08387655
 7201.38184,  1.07930268
 7203.06543,  1.07352707
 7204.76855,  1.06681774
 7206.49170,  1.05973127
 7208.23389,  1.05227789
 7209.99609,  1.04538757
 7211.77783,  1.03811213
 7213.57910,  1.03094643
 7215.39990,  1.02351777
 7217.24023,  1.01633831
 7219.10059,  1.00973726
 7220.98047,  1.00473456
 7222.87988,  1.00061653
 7224.79883,  0.99863650
 7226.73730,  0.99819412
 7228.69580,  0.99926878
 7230.67334,  1.00210122
 7232.67090,  1.00657636
 7234.68799,  1.01279176
 7236.72510,  1.02007288
 7238.78125,  1.02807031
 7240.85742,  1.03653325
 7242.95312,  1.04533080
 7245.06836,  1.05423025
 7247.20312,  1.06321348
 7249.35742,  1.07210955
 7251.53174,  1.08165067
 7253.72559,  1.09114536
 7255.93896,  1.09524039
 7258.17188,  1.10166619
 7260.42432,  1.10762357
 7262.69678,  1.09786500
 7264.98828,  1.10596328
 7267.29980,  1.10399196
 7269.63086,  1.10062361
 7271.98193,  1.09595128
 7274.35205,  1.09034359
 7276.74219,  1.08409813
 7279.15186,  1.07766769
 7281.58105,  1.07229175
 7284.02979,  1.06854496
 7286.49805,  1.06599375
 7288.98633,  1.06514291
 7291.49414,  1.06549407
 7294.02148,  1.06632700
 7296.56836,  1.06769118
 7299.13477,  1.06839419
 7301.72119,  1.06936035
 7304.32666,  1.06985089
 7306.95215,  1.07004917
 7309.59717,  1.07071165
 7312.26221,  1.07116826
 7314.94629,  1.07205355
 7317.65039,  1.07340290
 7320.37354,  1.07662495
 7323.11670,  1.08149266
 7325.87988,  1.08785791
 7328.66211,  1.09440499
 7331.46436,  1.10063334
 7334.28564,  1.10651670
 7337.12695,  1.11121306
 7339.98828,  1.11489418
 7342.86865,  1.11711552
 7345.76855,  1.11764495
 7348.68848,  1.11650769
 7351.62793,  1.11479377
 7354.58691,  1.11309812
