#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Goethite on sand: Goethite on sand
#------------------------------------------
# energy, Goethite on sand
 7130.00000,  1.36904399
 7130.25000,  1.37947179
 7130.50000,  1.38627117
 7130.75000,  1.39072945
 7131.00000,  1.39109946
 7131.25000,  1.38944194
 7131.50000,  1.38626779
 7131.75000,  1.38200025
 7132.00000,  1.37805046
 7132.25000,  1.37321527
 7132.50000,  1.36793704
 7132.75000,  1.36470053
 7133.00000,  1.36023951
 7133.25000,  1.35602454
 7133.50000,  1.35249986
 7133.75000,  1.34770338
 7134.00000,  1.34105591
 7134.25000,  1.33450863
 7134.50000,  1.32793782
 7134.75000,  1.32088889
 7135.00000,  1.31269684
 7135.25000,  1.30526790
 7135.50000,  1.29843565
 7135.75000,  1.29116091
 7136.00000,  1.28429588
 7136.25000,  1.27755414
 7136.50000,  1.27174104
 7136.75000,  1.26507234
 7137.00000,  1.25953828
 7137.25000,  1.25237683
 7137.50000,  1.24610408
 7137.75000,  1.23844680
 7138.00000,  1.23094901
 7138.25000,  1.22177114
 7138.50000,  1.21307909
 7138.75000,  1.20325229
 7139.00000,  1.19402899
 7139.25000,  1.18354149
 7139.50000,  1.17428960
 7139.75000,  1.16449624
 7140.00000,  1.15541879
 7140.25000,  1.14545648
 7140.50000,  1.13812873
 7140.75000,  1.12937289
 7141.00000,  1.12178094
 7141.25000,  1.11458715
 7141.50000,  1.10917760
 7141.75000,  1.10215022
 7142.00000,  1.09629423
 7142.25000,  1.09086740
 7142.50000,  1.08641178
 7142.75000,  1.08027333
 7143.00000,  1.07643419
 7143.25000,  1.07173626
 7143.50000,  1.06834566
 7143.75000,  1.06373154
 7144.00000,  1.06013701
 7144.25000,  1.05739611
 7144.50000,  1.05448780
 7144.75000,  1.05142276
 7145.00000,  1.04855625
 7145.25000,  1.04603983
 7145.50000,  1.04413275
 7145.75000,  1.04142880
 7146.00000,  1.03847221
 7146.25000,  1.03583678
 7146.50000,  1.03358797
 7146.75000,  1.03048564
 7147.00000,  1.02704070
 7147.25000,  1.02342374
 7147.50000,  1.01957745
 7147.75000,  1.01580848
 7148.00000,  1.01035515
 7148.25000,  1.00542339
 7148.50000,  1.00040847
 7148.75000,  0.99453444
 7149.00000,  0.98781349
 7149.25000,  0.98120143
 7149.50000,  0.97359728
 7149.75000,  0.96669540
 7150.00000,  0.95901766
 7150.25000,  0.95181607
 7150.50000,  0.94387205
 7150.75000,  0.93633268
 7151.00000,  0.92862228
 7151.25000,  0.92187218
 7151.50000,  0.91485592
 7151.75000,  0.90788068
 7152.00000,  0.90163389
 7152.25000,  0.89582574
 7152.50000,  0.88971391
 7152.75000,  0.88473386
 7153.00000,  0.87906913
 7153.25000,  0.87490112
 7153.50000,  0.87021947
 7153.75000,  0.86610041
 7154.00000,  0.86167152
 7154.25000,  0.85870074
 7154.50000,  0.85494189
 7154.75000,  0.85160364
 7155.00000,  0.84748029
 7155.25000,  0.84511037
 7155.50000,  0.84161594
 7155.75000,  0.83880959
 7156.00000,  0.83541183
 7156.25000,  0.83298374
 7156.50000,  0.83002165
 7156.75000,  0.82772047
 7157.00000,  0.82510980
 7157.25000,  0.82252370
 7157.50000,  0.82038300
 7157.75000,  0.81810878
 7158.00000,  0.81616243
 7158.25000,  0.81460621
 7158.50000,  0.81289969
 7158.75000,  0.81161421
 7159.00000,  0.81028011
 7159.25000,  0.80968618
 7159.50000,  0.80895763
 7159.75000,  0.80868377
 7160.00000,  0.80841282
 7161.09473,  0.80999349
 7162.20947,  0.81575764
 7163.34326,  0.82495718
 7164.49707,  0.83840251
 7165.67041,  0.85441449
 7166.86377,  0.87300297
 7168.07617,  0.89340725
 7169.30859,  0.91506553
 7170.56006,  0.93723206
 7171.83154,  0.96032109
 7173.12305,  0.98279971
 7174.43359,  1.00683697
 7175.76367,  1.02808807
 7177.11377,  1.03962050
 7178.48340,  1.04509703
 7179.87256,  1.04666805
 7181.28174,  1.04518790
 7182.70996,  1.04250217
 7184.15820,  1.04047793
 7185.62598,  1.03936567
 7187.11328,  1.03966243
 7188.62012,  1.03977953
 7190.14648,  1.03976845
 7191.69287,  1.03919205
 7193.25879,  1.03832051
 7194.84424,  1.03760742
 7196.44922,  1.03664208
 7198.07373,  1.03563468
 7199.71826,  1.03261584
 7201.38184,  1.02875833
 7203.06543,  1.02357394
 7204.76855,  1.01753138
 7206.49170,  1.00999387
 7208.23389,  1.00279194
 7209.99609,  0.99541504
 7211.77783,  0.98884938
 7213.57910,  0.98327037
 7215.39990,  0.97889052
 7217.24023,  0.97613692
 7219.10059,  0.97425753
 7220.98047,  0.97320950
 7222.87988,  0.97380619
 7224.79883,  0.97574007
 7226.73730,  0.97920000
 7228.69580,  0.98324410
 7230.67334,  0.98672781
 7232.67090,  0.98900167
 7234.68799,  0.99075909
 7236.72510,  0.99349202
 7238.78125,  0.99636309
 7240.85742,  0.99893358
 7242.95312,  1.00118584
 7245.06836,  1.00246322
 7247.20312,  1.00250946
 7249.35742,  1.00319887
 7251.53174,  1.00400059
 7253.72559,  1.00562796
 7255.93896,  1.00945296
 7258.17188,  1.01193408
 7260.42432,  1.01204050
 7262.69678,  1.02155645
 7264.98828,  1.02686975
 7267.29980,  1.03211389
 7269.63086,  1.03660335
 7271.98193,  1.04105147
 7274.35205,  1.04486189
 7276.74219,  1.04762347
 7279.15186,  1.04930724
 7281.58105,  1.04984894
 7284.02979,  1.04842402
 7286.49805,  1.04539618
 7288.98633,  1.04125804
 7291.49414,  1.03645233
 7294.02148,  1.03156100
 7296.56836,  1.02827216
 7299.13477,  1.02576123
 7301.72119,  1.02324515
 7304.32666,  1.02140494
 7306.95215,  1.02015595
 7309.59717,  1.01959192
 7312.26221,  1.01893717
 7314.94629,  1.01918367
 7317.65039,  1.01925971
 7320.37354,  1.02084313
 7323.11670,  1.02320343
 7325.87988,  1.02744730
 7328.66211,  1.03219998
 7331.46436,  1.03587117
 7334.28564,  1.04015125
 7337.12695,  1.04338525
 7339.98828,  1.04549321
 7342.86865,  1.04674018
 7345.76855,  1.04693034
 7348.68848,  1.04560102
 7351.62793,  1.04334777
 7354.58691,  1.04141079
 7357.56543,  1.03981495
 7360.56396,  1.03837004
 7363.58154,  1.03809563
 7366.61914,  1.03839725
 7369.67627,  1.03922632
 7372.75293,  1.04122839
 7375.84961,  1.04355383
 7378.96533,  1.04637027
 7382.10107,  1.04913008
 7385.25635,  1.05249677
 7388.43115,  1.05501034
 7391.62598,  1.05691119
 7394.83984,  1.05831797
 7398.07373,  1.05963502
 7401.32715,  1.06068464
 7404.60010,  1.06205957
 7407.89258,  1.06326199
 7411.20459,  1.06434667
 7414.53662,  1.06454378
 7417.88818,  1.06444145
 7421.25928,  1.06340747
 7424.64990,  1.06260200
 7428.06006,  1.06123632
 7431.49023,  1.06048968
 7434.93994,  1.05986156
 7438.40918,  1.06020085
 7441.89795,  1.06076228
 7445.40625,  1.06154957
 7448.93457,  1.06280401
 7452.48193,  1.06495915
 7456.04932,  1.06717876
 7459.63623,  1.06945948
 7463.24316,  1.07111340
 7466.86914,  1.07315370
 7470.51514,  1.07449571
 7474.18018,  1.07613304
 7477.86523,  1.07772772
 7481.57031,  1.07964127
 7485.29443,  1.08161642
 7489.03857,  1.08343200
 7492.80176,  1.08486658
 7496.58496,  1.08627159
 7500.38770,  1.08677443
 7504.21045,  1.08708140
 7508.05225,  1.08800673
 7511.91406,  1.08939920
 7515.79541,  1.09049103
 7519.69629,  1.09183754
 7523.61670,  1.09298230
 7527.55713,  1.09396660
 7531.51660,  1.09545234
 7535.49609,  1.09669679
 7539.49512,  1.09882143
 7543.51367,  1.10101608
 7547.55176,  1.10296498
 7551.60986,  1.10465719
 7555.68750,  1.10681285
 7559.78467,  1.10899442
 7563.90137,  1.11031341
 7568.03760,  1.11150214
 7572.19385,  1.11320706
 7576.36914,  1.11489922
 7580.56445,  1.11635064
 7584.77930,  1.11819214
 7589.01367,  1.11986224
 7593.26807,  1.12124408
 7597.54199,  1.12236740
 7601.83496,  1.12374656
 7606.14795,  1.12530700
 7610.48047,  1.12726786
 7614.83301,  1.12934170
 7619.20459,  1.13170943
 7623.59619,  1.13294078
 7628.00732,  1.13432003
 7632.43799,  1.13610266
 7636.88818,  1.13795983
 7641.35840,  1.13983769
 7645.84814,  1.14152380
 7650.35742,  1.14333734
 7654.88623,  1.14586609
 7659.43457,  1.14797937
 7664.00244,  1.15050990
 7668.59033,  1.15329937
 7673.19775,  1.15574651
 7677.82471,  1.15859616
 7682.47119,  1.16054738
 7687.13721,  1.16247480
 7691.82324,  1.16509484
 7696.52832,  1.16763228
 7701.25342,  1.17044086
 7705.99805,  1.17211773
 7710.76270,  1.17411743
 7715.54639,  1.17609107
 7720.35010,  1.17806780
 7725.17334,  1.18045376
 7730.01611,  1.18287147
 7734.87842,  1.18503956
 7739.76025,  1.18684872
 7744.66211,  1.18917253
 7749.58350,  1.19187467
 7754.52441,  1.19491057
 7759.48486,  1.19807423
 7764.46484,  1.20074576
 7769.46484,  1.20294811
 7774.48438,  1.20592527
 7779.52344,  1.20915042
 7784.58203,  1.21143919
 7789.66016,  1.21404457
 7794.75781,  1.21613979
 7799.87549,  1.21850515
 7805.01270,  1.22125928
 7810.16943,  1.22439503
 7815.34570,  1.22710816
 7820.54199,  1.23020791
 7825.75732,  1.23338169
 7830.99268,  1.23608683
 7836.24756,  1.23884054
 7841.52197,  1.24123972
 7846.81592,  1.24372497
 7852.12988,  1.24687270
 7857.46338,  1.24985420
 7862.81641,  1.25311964
 7868.18896,  1.25626449
 7873.58105,  1.25972672
 7878.99268,  1.26301568
 7884.42432,  1.26642025
 7889.87549,  1.27038529
 7895.34619,  1.27493772
 7900.83643,  1.27781103
 7906.34668,  1.28050167
 7911.87598,  1.28349797
 7917.42529,  1.28753291
 7922.99414,  1.29128063
 7928.58252,  1.29450695
 7934.19043,  1.29741174
 7939.81836,  1.30043423
 7945.46582,  1.30435881
 7951.13281,  1.30761406
 7956.81934,  1.31099191
 7962.52539,  1.31480350
 7968.25098,  1.31882172
 7973.99658,  1.32302958
 7979.76172,  1.32618899
 7985.54639,  1.33066887
 7991.35059,  1.33442741
 7997.17480,  1.33727515
 8003.01807,  1.34202294
 8008.88135,  1.34504361
 8014.76416,  1.34733050
 8020.66650,  1.35031423
 8026.58838,  1.35252162
 8032.53027,  1.35515325
 8038.49170,  1.35824041
 8044.47217,  1.36179734
 8050.47314,  1.36555761
 8056.49316,  1.36978236
 8062.53271,  1.37251089
 8068.59229,  1.37461977
 8074.67139,  1.37844322
 8080.77002,  1.38226684
 8086.88818,  1.38691357
 8093.02588,  1.39157764
 8099.18359,  1.39488546
 8105.36084,  1.39831136
