#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Nontronite: Nontronite
#------------------------------------------
# energy, Nontronite
 7421.25928,  1.16164240
 7424.64990,  1.16174224
 7428.06006,  1.16259761
 7431.49023,  1.16368644
 7434.93994,  1.16501953
 7438.40918,  1.16657415
 7441.89795,  1.16903731
 7445.40625,  1.17137495
 7448.93457,  1.17424712
 7452.48193,  1.17643121
 7456.04932,  1.17964162
 7459.63623,  1.18288364
 7463.24316,  1.18650765
 7466.86914,  1.19011935
 7470.51514,  1.19374258
 7474.18018,  1.19748275
 7477.86523,  1.20068508
 7481.57031,  1.20342675
 7485.29443,  1.20588361
 7489.03857,  1.20810357
 7492.80176,  1.20966734
 7496.58496,  1.21146813
 7500.38770,  1.21268704
 7504.21045,  1.21409846
 7508.05225,  1.21545261
 7511.91406,  1.21681130
 7515.79541,  1.21913713
 7519.69629,  1.22110807
 7523.61670,  1.22322828
 7527.55713,  1.22599783
 7531.51660,  1.22895531
 7535.49609,  1.23176066
 7539.49512,  1.23465153
 7543.51367,  1.23733281
 7547.55176,  1.24002470
 7551.60986,  1.24282849
 7555.68750,  1.24553233
 7559.78467,  1.24786532
 7563.90137,  1.25029335
 7568.03760,  1.25268038
 7572.19385,  1.25503021
 7576.36914,  1.25720015
 7580.56445,  1.25969199
 7584.77930,  1.26186149
 7589.01367,  1.26452527
 7593.26807,  1.26659684
 7597.54199,  1.26897367
 7601.83496,  1.27123474
 7606.14795,  1.27379808
 7610.48047,  1.27659340
 7614.83301,  1.27963445
 7619.20459,  1.28266537
 7623.59619,  1.28577870
 7628.00732,  1.28898316
 7632.43799,  1.29260780
 7636.88818,  1.29613411
 7641.35840,  1.29994010
 7645.84814,  1.30311329
 7650.35742,  1.30636430
 7654.88623,  1.30947868
 7659.43457,  1.31261995
 7664.00244,  1.31573308
 7668.59033,  1.31806431
 7673.19775,  1.32091883
 7677.82471,  1.32315086
 7682.47119,  1.32699324
 7687.13721,  1.32903170
 7691.82324,  1.33182845
 7696.52832,  1.33461231
 7701.25342,  1.33754408
 7705.99805,  1.34040388
 7710.76270,  1.34356068
 7715.54639,  1.34841053
 7720.35010,  1.34858123
 7725.17334,  1.35235918
 7730.01611,  1.35577672
 7734.87842,  1.35867982
 7739.76025,  1.36210920
 7744.66211,  1.36548473
 7749.58350,  1.36897135
 7754.52441,  1.37231468
 7759.48486,  1.37565589
 7764.46484,  1.37887147
 7769.46484,  1.38240194
 7774.48438,  1.38594487
 7779.52344,  1.38935597
 7784.58203,  1.39291887
 7789.66016,  1.39624363
 7794.75781,  1.39951225
 7799.87549,  1.40299885
 7805.01270,  1.40648025
 7810.16943,  1.40999738
 7815.34570,  1.41339266
 7820.54199,  1.41656091
 7825.75732,  1.42017574
 7830.99268,  1.42381712
 7836.24756,  1.42730969
 7841.52197,  1.43090774
 7846.81592,  1.43447948
 7852.12988,  1.43810323
 7857.46338,  1.44181594
 7862.81641,  1.44560166
 7868.18896,  1.44929489
 7873.58105,  1.45301984
 7878.99268,  1.45678994
 7884.42432,  1.46048807
 7889.87549,  1.46419407
 7895.34619,  1.46777673
 7900.83643,  1.47161052
 7906.34668,  1.47517886
 7911.87598,  1.47890382
 7917.42529,  1.48270695
 7922.99414,  1.48670949
 7928.58252,  1.49045071
 7934.19043,  1.49431208
 7939.81836,  1.49828809
 7945.46582,  1.50256053
 7951.13281,  1.50632209
 7956.81934,  1.51058618
 7962.52539,  1.51479724
 7968.25098,  1.51907741
 7973.99658,  1.52315188
 7979.76172,  1.52748047
 7985.54639,  1.53166599
 7991.35059,  1.53596259
 7997.17480,  1.54006497
 8003.01807,  1.54450703
 8008.88135,  1.54880601
 8014.76416,  1.55316505
 8020.66650,  1.55748952
 8026.58838,  1.56163341
 8032.53027,  1.56564720
 8038.49170,  1.56987449
 8044.47217,  1.57414739
 8050.47314,  1.57832193
 8056.49316,  1.58270621
 8062.53271,  1.58682608
 8068.59229,  1.59096769
 8074.67139,  1.59497437
 8080.77002,  1.59917839
 8086.88818,  1.60317845
 8093.02588,  1.60757769
 8099.18359,  1.61203813
 8105.36084,  1.61646630
