#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#FeS: FeS
#------------------------------------------
# energy, FeS
 7157.59814,  0.96071772
 7157.74805,  0.96082789
 7157.89844,  0.96203328
 7158.04834,  0.96126579
 7158.19873,  0.96132075
 7158.34863,  0.96355540
 7158.49902,  0.96345637
 7158.64893,  0.96470473
 7158.79932,  0.96398137
 7158.94922,  0.96404501
 7159.09912,  0.96353286
 7159.24951,  0.96615306
 7159.39941,  0.96626624
 7159.54980,  0.96794609
 7159.69971,  0.96625727
 7159.85010,  0.96822421
 7160.00000,  0.96922000
 7161.09082,  0.97574620
 7162.20068,  0.98386826
 7163.33057,  0.98945429
 7164.47949,  0.99971906
 7165.64795,  1.00735975
 7166.83594,  1.01957291
 7168.04346,  1.03063256
 7169.27051,  1.04286629
 7170.51660,  1.05342190
 7171.78271,  1.06303752
 7173.06787,  1.07288650
 7174.37305,  1.07735147
 7175.69727,  1.08290130
 7177.04102,  1.08769479
 7178.40430,  1.09020654
 7179.78711,  1.09006002
 7181.18896,  1.08969931
 7182.61084,  1.08422074
 7184.05176,  1.08363926
 7185.51270,  1.08197170
 7186.99268,  1.07804518
 7188.49219,  1.07770316
 7190.01123,  1.07737046
 7191.54980,  1.06336734
 7193.10791,  1.07311533
 7194.68506,  1.07982621
 7196.28223,  1.05516609
 7197.89844,  1.05967405
 7199.53418,  1.05653483
 7201.18994,  1.05506506
 7202.86475,  1.05275432
 7204.55908,  1.05149495
 7206.27246,  1.05254856
 7208.00586,  1.05597669
 7209.75879,  1.05757683
 7211.53076,  1.06075791
 7213.32227,  1.06190095
 7215.13330,  1.06880998
 7216.96436,  1.07279604
 7218.81396,  1.07607657
 7220.68359,  1.08253365
 7222.57275,  1.08744785
 7224.48145,  1.09034781
 7226.40918,  1.09761466
 7228.35645,  1.09994670
 7230.32373,  1.10490052
 7232.31006,  1.10914919
 7234.31592,  1.11286960
 7236.34131,  1.11436142
 7238.38574,  1.11934525
 7240.45020,  1.12196591
 7242.53369,  1.12097852
 7244.63721,  1.12569519
 7246.75977,  1.12539319
 7248.90186,  1.12795167
 7251.06348,  1.12741901
 7253.24463,  1.13033631
 7255.44531,  1.12943652
 7257.66553,  1.12865796
 7259.90479,  1.12827638
 7262.16357,  1.13229216
 7264.44238,  1.13184946
 7266.74023,  1.13391866
 7269.05762,  1.13595301
 7271.39453,  1.13968183
 7273.75098,  1.14180323
 7276.12646,  1.14326690
 7278.52197,  1.14645694
 7280.93701,  1.14891687
 7283.37109,  1.15261254
 7285.82471,  1.15340953
 7288.29785,  1.15884898
 7290.79053,  1.15939804
 7293.30273,  1.16321868
 7295.83447,  1.16558311
 7298.38525,  1.16770895
 7300.95605,  1.16823292
 7303.54590,  1.17204387
 7306.15527,  1.17529621
 7308.78467,  1.17864416
 7311.43311,  1.18299298
 7314.10059,  1.18505366
 7316.78809,  1.18670399
 7319.49512,  1.19238770
 7322.22119,  1.19469957
 7324.96729,  1.19717311
 7327.73242,  1.20256814
 7330.51709,  1.20452011
 7333.32129,  1.20696148
 7336.14502,  1.21180648
 7338.98828,  1.21293315
 7341.85107,  1.21598046
 7344.73291,  1.21902591
 7347.63477,  1.22248164
 7350.55566,  1.22432388
 7353.49609,  1.22712578
 7356.45605,  1.22822116
 7359.43555,  1.23020729
 7362.43457,  1.23282565
 7365.45312,  1.23344159
 7368.49121,  1.24074619
 7371.54834,  1.24374262
 7374.62500,  1.24294393
 7377.72168,  1.24600280
 7380.83740,  1.24695291
 7383.97266,  1.25129901
 7387.12744,  1.25606944
 7390.30176,  1.26076797
 7393.49512,  1.26463660
 7396.70850,  1.26764590
 7399.94092,  1.27169278
 7403.19287,  1.27627180
 7406.46484,  1.27846216
 7409.75586,  1.28396515
 7413.06641,  1.28632333
 7416.39600,  1.28945303
 7419.74561,  1.29352163
 7423.11475,  1.29842582
 7426.50293,  1.30180923
 7429.91064,  1.30361286
 7433.33838,  1.30698577
 7436.78516,  1.31052413
 7440.25146,  1.31222588
 7443.73682,  1.31653711
 7447.24219,  1.32275410
 7450.76709,  1.32739416
 7454.31104,  1.33115991
 7457.87500,  1.33477263
 7461.45801,  1.33845391
 7465.06055,  1.34210838
 7468.68262,  1.34599741
 7472.32422,  1.34984018
 7475.98535,  1.35244184
 7479.66553,  1.35807028
 7483.36572,  1.36269905
 7487.08496,  1.36792113
 7490.82422,  1.37213298
 7494.58252,  1.37809896
 7498.36035,  1.38323223
 7502.15771,  1.38856921
 7505.97412,  1.39255741
 7509.81055,  1.39854357
 7513.66650,  1.40209141
 7517.54150,  1.40758132
 7521.43604,  1.41103411
 7525.35059,  1.41715948
 7529.28418,  1.42003054
 7533.23730,  1.42437646
 7537.20996,  1.42844660
 7541.20166,  1.43258882
 7545.21338,  1.43933572
 7549.24414,  1.44333915
 7553.29492,  1.44851401
 7557.36475,  1.45308783
 7561.45410,  1.45736005
 7565.56299,  1.46147705
 7569.69141,  1.46617748
 7573.83936,  1.47072890
 7578.00635,  1.47587244
 7582.19336,  1.48178136
 7586.39941,  1.48539946
 7590.62500,  1.49055646
 7594.87061,  1.49607128
 7599.13525,  1.50006028
 7603.41943,  1.50467799
 7607.72266,  1.50958321
 7612.04590,  1.51265939
 7616.38867,  1.51991934
 7620.75049,  1.52629022
 7625.13184,  1.52948343
 7629.53320,  1.53537087
 7633.95361,  1.54078098
 7638.39355,  1.54750298
 7642.85254,  1.55141210
 7647.33154,  1.55904482
 7651.83008,  1.56309165
 7656.34766,  1.56951492
 7660.88525,  1.57544954
 7665.44189,  1.58023221
 7670.01807,  1.58555271
 7674.61377,  1.59201948
 7679.22900,  1.59588010
 7683.86328,  1.58614732
 7688.51758,  1.62523819
 7693.19141,  1.59778065
 7697.88428,  1.61865378
 7702.59668,  1.62413431
 7707.32861,  1.64516373
 7712.08008,  1.61373688
 7716.85107,  1.64666711
 7721.64160,  1.64992564
 7726.45166,  1.65771548
 7731.28076,  1.66366448
 7736.12988,  1.67116030
 7740.99805,  1.67684025
 7745.88574,  1.68357626
 7750.79297,  1.69247148
 7755.71973,  1.69917734
 7760.66602,  1.70676423
 7765.63184,  1.71454696
 7770.61670,  1.72240394
 7775.62158,  1.72890265
 7780.64551,  1.73539061
 7785.68945,  1.73962806
 7790.75244,  1.74920571
 7795.83496,  1.75852352
 7800.93652,  1.76556778
 7806.05811,  1.77373184
 7811.19922,  1.77975449
 7816.35938,  1.78752021
 7821.53955,  1.79500147
 7826.73877,  1.80192677
 7831.95752,  1.81000621
 7837.19580,  1.81719577
 7842.45361,  1.82334255
 7847.73096,  1.83088923
 7853.02783,  1.83788570
 7858.34375,  1.84213518
 7863.67920,  1.84971725
 7869.03467,  1.85727339
 7874.40918,  1.86562704
 7879.80322,  1.87073277
 7885.21680,  1.87870587
 7890.64990,  1.88908513
 7896.10254,  1.89419394
 7901.57422,  1.90308210
 7907.06592,  1.91024735
 7912.57666,  1.91816098
 7918.10693,  1.92679067
 7923.65674,  1.93480543
 7929.22607,  1.94147228
 7934.81494,  1.95133291
 7940.42334,  1.95980122
 7946.05078,  1.96808743
 7951.69824,  1.97693818
 7957.36475,  1.98527506
 7963.05127,  1.99277155
 7968.75684,  2.00234858
 7974.48193,  2.00844852
 7980.22656,  2.01738096
 7985.99023,  2.02436896
 7991.77393,  2.03046224
 7997.57715,  2.03960128
