#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Vivianite: Vivianite
#------------------------------------------
# energy, Vivianite
 7107.75000,  0.02030025
 7108.00000,  0.02109979
 7108.25000,  0.02191388
 7108.50000,  0.02289913
 7108.75000,  0.02398467
 7109.00000,  0.02545003
 7109.25000,  0.02708008
 7109.50000,  0.02917876
 7109.75000,  0.03169263
 7110.00000,  0.03462796
 7110.25000,  0.03780734
 7110.50000,  0.04068831
 7110.75000,  0.04334176
 7111.00000,  0.04533274
 7111.25000,  0.04681453
 7111.50000,  0.04787512
 7111.75000,  0.04897057
 7112.00000,  0.05014735
 7112.25000,  0.05153483
 7112.50000,  0.05279119
 7112.75000,  0.05408688
 7113.00000,  0.05493986
 7113.25000,  0.05589614
 7113.50000,  0.05649945
 7113.75000,  0.05733100
 7114.00000,  0.05812980
 7114.25000,  0.05965809
 7114.50000,  0.06112067
 7114.75000,  0.06342089
 7115.00000,  0.06627069
 7115.25000,  0.07043337
 7115.50000,  0.07474354
 7115.75000,  0.08097901
 7116.00000,  0.08817693
 7116.25000,  0.09765783
 7116.50000,  0.10774553
 7116.75000,  0.12149880
 7117.00000,  0.13694223
 7117.25000,  0.15566555
 7117.50000,  0.17665562
 7117.75000,  0.20303769
 7118.00000,  0.23119403
 7118.25000,  0.26375080
 7118.50000,  0.29820506
 7118.75000,  0.33845605
 7119.00000,  0.38181463
 7119.25000,  0.42618211
 7119.50000,  0.47330121
 7119.75000,  0.52291221
 7120.00000,  0.57458186
 7120.25000,  0.62313726
 7120.50000,  0.67099436
 7120.75000,  0.71714926
 7121.00000,  0.76117277
 7121.25000,  0.79864604
 7121.50000,  0.83744937
 7121.75000,  0.87471922
 7122.00000,  0.91384763
 7122.25000,  0.94921349
 7122.50000,  0.99053999
 7122.75000,  1.03075632
 7123.00000,  1.07451738
 7123.25000,  1.11390645
 7123.50000,  1.15848281
 7123.75000,  1.19865820
 7124.00000,  1.23940346
 7124.25000,  1.27247911
 7124.50000,  1.30629062
 7124.75000,  1.33516383
 7125.00000,  1.36136895
 7125.25000,  1.37917701
 7125.50000,  1.39408079
 7125.75000,  1.40137007
 7126.00000,  1.40195893
 7126.25000,  1.39622320
 7126.50000,  1.38398663
 7126.75000,  1.36833829
 7127.00000,  1.34987550
 7127.25000,  1.33207226
 7127.50000,  1.31065965
 7127.75000,  1.29324377
 7128.00000,  1.27621383
 7128.25000,  1.26354891
 7128.50000,  1.25152688
 7128.75000,  1.24194816
 7129.00000,  1.23503525
 7129.25000,  1.22879785
 7129.50000,  1.22326683
 7129.75000,  1.21670812
 7130.00000,  1.21064197
 7130.25000,  1.20469213
 7130.50000,  1.19638781
 7130.75000,  1.18729425
 7131.00000,  1.17750726
 7131.25000,  1.16749206
 7131.50000,  1.15699605
 7131.75000,  1.14560325
 7132.00000,  1.13433345
 7132.25000,  1.12335811
 7132.50000,  1.11354350
 7132.75000,  1.10319811
 7133.00000,  1.09429531
 7133.25000,  1.08733443
 7133.50000,  1.08094299
 7133.75000,  1.07512932
 7134.00000,  1.07109186
 7134.25000,  1.06840518
 7134.50000,  1.06630039
 7134.75000,  1.06565762
 7135.00000,  1.06529375
 7135.25000,  1.06543254
 7135.50000,  1.06573995
 7135.75000,  1.06599014
 7136.00000,  1.06651031
 7136.25000,  1.06714657
 7136.50000,  1.06692783
 7136.75000,  1.06685578
 7137.00000,  1.06622277
 7137.25000,  1.06499413
 7137.50000,  1.06297832
 7137.75000,  1.06057578
 7138.00000,  1.05848580
 7138.25000,  1.05540905
 7138.50000,  1.05290359
 7138.75000,  1.04986165
 7139.00000,  1.04728003
 7139.25000,  1.04475762
 7139.50000,  1.04238043
 7139.75000,  1.03989084
 7140.00000,  1.03729271
 7140.25000,  1.03544317
 7140.50000,  1.03318726
 7140.75000,  1.03076216
 7141.00000,  1.02838276
 7141.25000,  1.02461799
 7141.50000,  1.02143704
 7141.75000,  1.01812362
 7142.00000,  1.01361075
 7142.25000,  1.00854588
 7142.50000,  1.00425866
 7142.75000,  0.99912254
 7143.00000,  0.99328993
 7143.25000,  0.98759221
 7143.50000,  0.98144584
 7143.75000,  0.97564106
 7144.00000,  0.96937106
 7144.25000,  0.96284203
 7144.50000,  0.95577545
 7144.75000,  0.94929076
