#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Lepidocrocite: Lepidocrocite
#------------------------------------------
# energy, Lepidocrocite
 7150.25000,  0.96092307
 7150.50000,  0.95486270
 7150.75000,  0.94741060
 7151.00000,  0.94186190
 7151.25000,  0.93505116
 7151.50000,  0.92928589
 7151.75000,  0.92388140
 7152.00000,  0.91876350
 7152.25000,  0.91305982
 7152.50000,  0.90792523
 7152.75000,  0.90318656
 7153.00000,  0.89928537
 7153.25000,  0.89430868
 7153.50000,  0.89106180
 7153.75000,  0.88677529
 7154.00000,  0.88368664
 7154.25000,  0.87990906
 7154.50000,  0.87660801
 7154.75000,  0.87419010
 7155.00000,  0.87107483
 7155.25000,  0.86861987
 7155.50000,  0.86622291
 7155.75000,  0.86457647
 7156.00000,  0.86206851
 7156.25000,  0.86057989
 7156.50000,  0.85878449
 7156.75000,  0.85772033
 7157.00000,  0.85612071
 7157.25000,  0.85533947
 7157.50000,  0.85433232
 7157.75000,  0.85331539
 7158.00000,  0.85278135
 7158.25000,  0.85170860
 7158.50000,  0.85148936
 7158.75000,  0.85100497
 7159.00000,  0.85008002
 7159.25000,  0.84983223
 7159.50000,  0.84981963
 7159.75000,  0.84963310
 7160.00000,  0.84998395
 7161.09473,  0.85098635
 7162.20947,  0.85499082
 7163.34326,  0.86365966
 7164.49707,  0.87602936
 7165.67041,  0.89143945
 7166.86377,  0.90938835
 7168.07617,  0.93083547
 7169.30859,  0.95418597
 7170.56006,  0.98000067
 7171.83154,  1.00516297
 7173.12305,  1.02968929
 7174.43359,  1.05212826
 7175.76367,  1.06859204
 7177.11377,  1.07978242
 7178.48340,  1.08800572
 7179.87256,  1.09368406
 7181.28174,  1.09611934
 7182.70996,  1.09488000
 7184.15820,  1.09118767
 7185.62598,  1.08637300
 7187.11328,  1.08132579
 7188.62012,  1.07494959
 7190.14648,  1.06866709
 7191.69287,  1.06224418
 7193.25879,  1.05579038
 7194.84424,  1.05134960
 7196.44922,  1.04794818
 7198.07373,  1.04573949
 7199.71826,  1.04465535
 7201.38184,  1.04346854
 7203.06543,  1.04203634
 7204.76855,  1.04057424
 7206.49170,  1.03899402
 7208.23389,  1.03751743
 7209.99609,  1.03630261
 7211.77783,  1.03594513
 7213.57910,  1.03431315
 7215.39990,  1.03358407
 7217.24023,  1.03197157
 7219.10059,  1.03175285
 7220.98047,  1.03139874
 7222.87988,  1.03114418
 7224.79883,  1.02951539
 7226.73730,  1.02653433
 7228.69580,  1.02166136
 7230.67334,  1.01524701
 7232.67090,  1.00970709
 7234.68799,  1.00512198
 7236.72510,  1.00298211
 7238.78125,  1.00380920
 7240.85742,  1.00706334
 7242.95312,  1.01263405
 7245.06836,  1.01973958
 7247.20312,  1.02949151
 7249.35742,  1.03966537
 7251.53174,  1.04914024
 7253.72559,  1.05711555
 7255.93896,  1.06588951
 7258.17188,  1.07261108
 7260.42432,  1.07488572
 7262.69678,  1.08620144
 7264.98828,  1.09246176
 7267.29980,  1.09821297
 7269.63086,  1.10130079
 7271.98193,  1.10284481
 7274.35205,  1.10245161
 7276.74219,  1.10086695
 7279.15186,  1.09630554
 7281.58105,  1.08979004
 7284.02979,  1.08188998
 7286.49805,  1.07369780
 7288.98633,  1.06673048
 7291.49414,  1.06044773
 7294.02148,  1.05575823
 7296.56836,  1.05238782
 7299.13477,  1.05139974
 7301.72119,  1.05177048
 7304.32666,  1.05460801
 7306.95215,  1.05944554
 7309.59717,  1.06502924
 7312.26221,  1.07095033
 7314.94629,  1.07706718
 7317.65039,  1.08201562
 7320.37354,  1.08544437
 7323.11670,  1.08650226
 7325.87988,  1.08719449
 7328.66211,  1.08812172
 7331.46436,  1.08795413
 7334.28564,  1.08788025
 7337.12695,  1.08610182
 7339.98828,  1.08465836
 7342.86865,  1.08302768
 7345.76855,  1.08234956
 7348.68848,  1.08206640
 7351.62793,  1.08339978
 7354.58691,  1.08626047
 7357.56543,  1.08941499
 7360.56396,  1.09123585
 7363.58154,  1.09190365
 7366.61914,  1.09200641
 7369.67627,  1.09336643
 7372.75293,  1.09544649
 7375.84961,  1.09788922
 7378.96533,  1.10131122
 7382.10107,  1.10552452
 7385.25635,  1.10937484
 7388.43115,  1.11287195
 7391.62598,  1.11629075
 7394.83984,  1.11816250
 7398.07373,  1.11922051
 7401.32715,  1.11961894
 7404.60010,  1.11905626
 7407.89258,  1.11825837
 7411.20459,  1.11655037
 7414.53662,  1.11478425
 7417.88818,  1.11325179
 7421.25928,  1.11167014
 7424.64990,  1.11077866
 7428.06006,  1.10983508
 7431.49023,  1.11026541
 7434.93994,  1.11079838
 7438.40918,  1.11185325
 7441.89795,  1.11313837
 7445.40625,  1.11469627
 7448.93457,  1.11644351
 7452.48193,  1.11812213
 7456.04932,  1.12120246
 7459.63623,  1.12479569
 7463.24316,  1.12878823
 7466.86914,  1.13275322
 7470.51514,  1.13660659
 7474.18018,  1.13988701
 7477.86523,  1.14259998
 7481.57031,  1.14442102
 7485.29443,  1.14470786
 7489.03857,  1.14502638
 7492.80176,  1.14513416
 7496.58496,  1.14498703
 7500.38770,  1.14582625
 7504.21045,  1.14645020
 7508.05225,  1.14727911
 7511.91406,  1.14779294
 7515.79541,  1.14875199
 7519.69629,  1.14632751
 7523.61670,  1.15026666
 7527.55713,  1.15192583
 7531.51660,  1.15395470
 7535.49609,  1.15670376
 7539.49512,  1.15930542
 7543.51367,  1.16141016
 7547.55176,  1.16403514
 7551.60986,  1.16605302
 7555.68750,  1.16864381
 7559.78467,  1.17042972
 7563.90137,  1.17243202
 7568.03760,  1.17405155
 7572.19385,  1.17523065
 7576.36914,  1.17609294
 7580.56445,  1.17690621
 7584.77930,  1.17736885
 7589.01367,  1.17824766
 7593.26807,  1.17933584
 7597.54199,  1.18034755
 7601.83496,  1.18193417
 7606.14795,  1.18377306
 7610.48047,  1.18573151
 7614.83301,  1.18758085
 7619.20459,  1.19017128
 7623.59619,  1.19266336
 7628.00732,  1.18854748
 7632.43799,  1.20270885
 7636.88818,  1.19996136
 7641.35840,  1.20233533
 7645.84814,  1.20504494
 7650.35742,  1.20777698
 7654.88623,  1.21015572
 7659.43457,  1.21204355
 7664.00244,  1.21371269
 7668.59033,  1.21516357
 7673.19775,  1.21664221
 7677.82471,  1.21821330
 7682.47119,  1.21989386
 7687.13721,  1.22131335
 7691.82324,  1.22298785
 7696.52832,  1.22457019
 7701.25342,  1.22602215
 7705.99805,  1.22761612
 7710.76270,  1.22847623
 7715.54639,  1.23063024
 7720.35010,  1.23331683
 7725.17334,  1.23511559
 7730.01611,  1.23726943
 7734.87842,  1.23947216
 7739.76025,  1.24176591
 7744.66211,  1.24385083
 7749.58350,  1.24646074
 7754.52441,  1.24848594
 7759.48486,  1.25106468
 7764.46484,  1.25320350
 7769.46484,  1.25528236
 7774.48438,  1.25748121
 7779.52344,  1.25949301
 7784.58203,  1.26136567
 7789.66016,  1.26338176
 7794.75781,  1.26550541
 7799.87549,  1.26761016
 7805.01270,  1.26982180
 7810.16943,  1.27146758
 7815.34570,  1.27354814
 7820.54199,  1.27553078
 7825.75732,  1.27747810
 7830.99268,  1.27923486
 7836.24756,  1.28138284
 7841.52197,  1.28353614
 7846.81592,  1.28610335
 7852.12988,  1.28818265
 7857.46338,  1.29058674
 7862.81641,  1.29297604
 7868.18896,  1.29585603
 7873.58105,  1.29843256
 7878.99268,  1.30070628
 7884.42432,  1.30256368
 7889.87549,  1.30485588
 7895.34619,  1.30673201
 7900.83643,  1.30866646
 7906.34668,  1.31040735
 7911.87598,  1.31250340
 7917.42529,  1.31424533
 7922.99414,  1.31659153
 7928.58252,  1.31884333
 7934.19043,  1.32089797
 7939.81836,  1.32297562
 7945.46582,  1.32545760
 7951.13281,  1.32783531
 7956.81934,  1.33024905
 7962.52539,  1.33311110
 7968.25098,  1.33547705
 7973.99658,  1.33826836
 7979.76172,  1.34063410
 7985.54639,  1.34351849
 7991.35059,  1.34587241
 7997.17480,  1.34852124
 8003.01807,  1.35067607
 8008.88135,  1.35301565
 8014.76416,  1.35539367
 8020.66650,  1.35786672
 8026.58838,  1.36006059
 8032.53027,  1.36248235
 8038.49170,  1.36467934
 8044.47217,  1.36698155
 8050.47314,  1.36945180
 8056.49316,  1.37206100
 8062.53271,  1.37451085
 8068.59229,  1.37707008
 8074.67139,  1.37942640
 8080.77002,  1.38176743
 8086.88818,  1.38424689
 8093.02588,  1.38680903
 8099.18359,  1.38920014
 8105.36084,  1.39168561
