#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Augite: Augite
#------------------------------------------
# energy, Augite
 7456.17432,  1.02220637
 7459.76123,  1.02243947
 7463.36816,  1.02282812
 7466.99414,  1.02331638
 7470.64014,  1.02362208
 7474.30518,  1.02388802
 7477.99023,  1.02430347
 7481.69531,  1.02455817
 7485.41943,  1.02451734
 7489.16357,  1.02431452
 7492.92676,  1.02438761
 7496.70996,  1.02404873
 7500.51270,  1.02459339
 7504.33545,  1.02473653
 7508.17725,  1.02530852
 7512.03906,  1.02560047
 7515.92041,  1.02618622
 7519.82129,  1.02685964
 7523.74170,  1.02783779
 7527.68213,  1.02828799
 7531.64160,  1.02890192
 7535.62109,  1.02955443
 7539.62012,  1.03040049
 7543.63867,  1.03081834
 7547.67676,  1.03164876
 7551.73486,  1.03200325
 7555.81250,  1.03199072
 7559.90967,  1.03227091
 7564.02637,  1.03265080
 7568.16260,  1.03319670
 7572.31885,  1.03382374
 7576.49414,  1.03424152
 7580.68945,  1.03480374
 7584.90430,  1.03549219
 7589.13867,  1.03574362
 7593.39307,  1.03674883
 7597.66699,  1.03763210
 7601.95996,  1.03832670
 7606.27295,  1.03910512
 7610.60547,  1.03952812
 7614.95801,  1.04046490
 7619.32959,  1.04178092
 7623.72119,  1.04454079
 7628.13232,  1.04333476
 7632.56299,  1.04319378
 7637.01318,  1.04402970
 7641.48340,  1.04459253
 7645.97314,  1.04526984
 7650.48242,  1.04613800
 7655.01123,  1.04654536
 7659.55957,  1.04716751
 7664.12744,  1.04802389
 7668.71533,  1.04860278
 7673.32275,  1.04978956
 7677.94971,  1.05017309
 7682.59619,  1.05127406
 7687.26221,  1.05199886
 7691.94824,  1.05302462
 7696.65332,  1.05381441
 7701.37842,  1.05486906
 7706.12305,  1.05574932
 7710.88770,  1.05652086
 7715.67139,  1.05782474
 7720.47510,  1.05906058
 7725.29834,  1.05963907
 7730.14111,  1.06052539
 7735.00342,  1.06166155
 7739.88525,  1.06252382
 7744.78711,  1.06343373
 7749.70850,  1.06432161
 7754.64941,  1.06526310
 7759.60986,  1.06611998
 7764.58984,  1.06703463
 7769.58984,  1.06784318
 7774.60938,  1.06862807
 7779.64844,  1.06967798
 7784.70703,  1.07065538
 7789.78516,  1.07174071
 7794.88281,  1.07260893
 7800.00049,  1.07342112
 7805.13770,  1.07448992
 7810.29443,  1.07584116
 7815.47070,  1.07652467
 7820.66699,  1.07741569
 7825.88232,  1.07839596
 7831.11768,  1.07942181
 7836.37256,  1.08039419
 7841.64697,  1.08146053
 7846.94092,  1.08248033
 7852.25488,  1.08339296
 7857.58838,  1.08452651
 7862.94141,  1.08558329
 7868.31396,  1.08662866
 7873.70605,  1.08769659
 7879.11768,  1.08875312
 7884.54932,  1.08970754
 7890.00049,  1.09075135
 7895.47119,  1.09201053
 7900.96143,  1.09291984
 7906.47168,  1.09406109
 7912.00098,  1.09508596
 7917.55029,  1.09637218
 7923.11914,  1.09814939
 7928.70752,  1.09868849
 7934.31543,  1.09977111
 7939.94336,  1.10092303
 7945.59082,  1.10217324
 7951.25781,  1.10309335
 7956.94434,  1.10447203
 7962.65039,  1.10563816
 7968.37598,  1.10698306
 7974.12158,  1.10813265
 7979.88672,  1.10898964
 7985.67139,  1.11019221
 7991.47559,  1.11125282
 7997.29980,  1.11157274
 8003.14307,  1.11127378
 8009.00635,  1.11120595
 8014.88916,  1.11082632
 8020.79150,  1.11056493
 8026.71338,  1.11051105
 8032.65527,  1.10975782
 8038.61670,  1.10899660
 8044.59717,  1.10729694
 8050.59814,  1.10540383
 8056.61816,  1.10392158
 8062.65771, -0.05058405
 8068.71729, -0.03915550
 8074.79639, -0.02787089
 8080.89502, -0.01680150
 8087.01318, -0.00587030
 8093.15088,  0.00495686
 8099.30859,  0.01580163
 8105.48584,  0.02627252
