#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Siderite-n: Siderite-n
#------------------------------------------
# energy, Siderite-n
 7158.00000,  0.94129774
 7158.25000,  0.94884035
 7158.50000,  0.95552239
 7158.75000,  0.96212095
 7159.00000,  0.96867131
 7159.25000,  0.97461525
 7159.50000,  0.97930245
 7159.75000,  0.98424835
 7160.00000,  0.98855819
 7161.09473,  1.00301315
 7162.20947,  1.01394676
 7163.34326,  1.02596648
 7164.49707,  1.04170927
 7165.67041,  1.05816431
 7166.86377,  1.07330045
 7168.07617,  1.08561370
 7169.30859,  1.09531998
 7170.56006,  1.10229409
 7171.83154,  1.10370369
 7173.12305,  1.09500221
 7174.43359,  1.08016788
 7175.76367,  1.06320054
 7177.11377,  1.04705718
 7178.48340,  1.03584087
 7179.87256,  1.02914628
 7181.28174,  1.02662962
 7182.70996,  1.02596466
 7184.15820,  1.02715749
 7185.62598,  1.02880675
 7187.11328,  1.03022211
 7188.62012,  1.03024212
 7190.14648,  1.02830461
 7191.69287,  1.02454101
 7193.25879,  1.01786499
 7194.84424,  1.00881326
 7196.44922,  0.99797375
 7198.07373,  0.98801038
 7199.71826,  0.98100984
 7201.38184,  0.97804114
 7203.06543,  0.97918337
 7204.76855,  0.98290101
 7206.49170,  0.98807172
 7208.23389,  0.99065365
 7209.99609,  0.99139549
 7211.77783,  0.99130709
 7213.57910,  0.99239063
 7215.39990,  0.99549926
 7217.24023,  1.00101052
 7219.10059,  1.00632313
 7220.98047,  1.01010136
 7222.87988,  1.01213897
 7224.79883,  1.01347671
 7226.73730,  1.01627284
 7228.69580,  1.02103517
 7230.67334,  1.02702756
 7232.67090,  1.03192520
 7234.68799,  1.03524391
 7236.72510,  1.03748756
 7238.78125,  1.04035179
 7240.85742,  1.04300032
 7242.95312,  1.04490942
 7245.06836,  1.04617769
 7247.20312,  1.04819619
 7249.35742,  1.05133651
 7251.53174,  1.05556285
 7253.72559,  1.06030345
 7255.93896,  1.06089283
 7258.17188,  1.06167904
 7260.42432,  1.05332727
 7262.69678,  1.04993362
 7264.98828,  1.04305721
 7267.29980,  1.03720145
 7269.63086,  1.03283778
 7271.98193,  1.02945855
 7274.35205,  1.02676841
 7276.74219,  1.02581330
 7279.15186,  1.02751788
 7281.58105,  1.03196849
 7284.02979,  1.03748623
 7286.49805,  1.04102791
 7288.98633,  1.04246080
 7291.49414,  1.04162323
 7294.02148,  1.04067303
 7296.56836,  1.04062879
 7299.13477,  1.04136506
 7301.72119,  1.04158500
 7304.32666,  1.04104320
 7306.95215,  1.04045098
 7309.59717,  1.04074601
 7312.26221,  1.04076032
 7314.94629,  1.04111103
 7317.65039,  1.04158350
 7320.37354,  1.04354754
 7323.11670,  1.04707041
 7325.87988,  1.05063647
 7328.66211,  1.05309949
 7331.46436,  1.05427064
 7334.28564,  1.05556732
 7337.12695,  1.05738413
 7339.98828,  1.06031285
 7342.86865,  1.06401228
 7345.76855,  1.06707421
 7348.68848,  1.06901078
 7351.62793,  1.06980151
 7354.58691,  1.06936478
 7357.56543,  1.06732384
 7360.56396,  1.06445413
 7363.58154,  1.06041007
 7366.61914,  1.05700416
