#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Green Rust - Chloride: Green Rust - Chloride
#------------------------------------------
# energy, Green Rust - Chloride
 7805.01270,  1.26005154
 7810.16943,  1.26284360
 7815.34570,  1.26605404
 7820.54199,  1.26766486
 7825.75732,  1.26988416
 7830.99268,  1.27185235
 7836.24756,  1.27477462
 7841.52197,  1.27712407
 7846.81592,  1.27843523
 7852.12988,  1.28088672
 7857.46338,  1.28443425
 7862.81641,  1.28591176
 7868.18896,  1.28853840
 7873.58105,  1.29091760
 7878.99268,  1.29440958
 7884.42432,  1.29674486
 7889.87549,  1.29968170
 7895.34619,  1.30212655
 7900.83643,  1.30469417
 7906.34668,  1.30749432
 7911.87598,  1.31019080
 7917.42529,  1.31300441
 7922.99414,  1.31376430
 7928.58252,  1.31728345
 7934.19043,  1.32017207
 7939.81836,  1.32358814
 7945.46582,  1.32396546
 7951.13281,  1.32767675
 7956.81934,  1.33074344
 7962.52539,  1.33253309
 7968.25098,  1.33541879
 7973.99658,  1.33868306
 7979.76172,  1.34132969
 7985.54639,  1.34489516
 7991.35059,  1.34780945
 7997.17480,  1.34987281
 8003.01807,  1.35057345
 8008.88135,  1.35254202
 8014.76416,  1.35498112
 8020.66650,  1.35900416
 8026.58838,  1.36475285
 8032.53027,  1.36764723
 8038.49170,  1.37064612
 8044.47217,  1.37572763
 8050.47314,  1.37427960
 8056.49316,  1.37701105
 8062.53271,  1.37857532
 8068.59229,  1.38092431
 8074.67139,  1.38399905
 8080.77002,  1.38815138
 8086.88818,  1.39033989
 8093.02588,  1.39358918
 8099.18359,  1.39709293
 8105.36084,  1.39946613
