spectrum,cluster,sa_flag,sa_score,criteria_met
FeXANES_GT5_flaky_nodule_Fe_10.001,5,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_2.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_3.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_4.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_5.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_6.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_7.001,5,possible,2,WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_8.001,2,possible,3,E0/PE+WLR+R-factor
FeXANES_GT5_flaky_nodule_Fe_9.001,1,ok,0,
FeXANES_GT5_flakysmooth2_Fe_1.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_10.001,3,ok,1,WLR
FeXANES_GT5_flakysmooth2_Fe_11.001,3,ok,1,WLR
FeXANES_GT5_flakysmooth2_Fe_12.001,4,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_13.001,1,ok,1,WLR
FeXANES_GT5_flakysmooth2_Fe_14.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_15.001,1,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_16.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_17.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_18.001,4,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_19.001,5,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_2.001,4,possible,2,WLR+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_20.001,3,ok,1,WLR
FeXANES_GT5_flakysmooth2_Fe_21.001,3,ok,1,WLR
FeXANES_GT5_flakysmooth2_Fe_22.001,1,ok,1,R-factor
FeXANES_GT5_flakysmooth2_Fe_3.001,5,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_4.001,5,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_flakysmooth2_Fe_5.001,3,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_6.001,3,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_7.001,3,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_8.001,3,possible,2,WLR+R-factor
FeXANES_GT5_flakysmooth2_Fe_9.001,3,possible,2,WLR+R-factor
FeXANES_GT5_white_gray_particles_Fe_1.001,5,possible,2,WLR+Fe-counts
FeXANES_GT5_white_gray_particles_Fe_2.001,2,possible,3,WLR+R-factor+Fe-counts
FeXANES_GT5_white_gray_particles_Fe_3.001,5,possible,2,WLR+R-factor
FeXANES_GT5_white_gray_particles_Fe_4.001,3,ok,1,WLR
FeXANES_GT5_white_gray_particles_Fe_5.001,3,possible,2,WLR+Fe-counts
