#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky_nodule_Fe.001: FeXANES_GT5_flaky_nodule_Fe.001
#------------------------------------------
# energy, FeXANES_GT5_flaky_nodule_Fe.001
 7214.05000,  1.01706723
 7215.05000,  1.02956121
 7216.05000,  1.03989278
 7217.05000,  1.04750020
 7218.05000,  1.05266544
 7219.05000,  1.05771229
 7220.05000,  1.06067148
 7221.05000,  1.06018838
 7222.05000,  1.06207419
 7223.05000,  1.06118480
 7224.05000,  1.04680571
 7225.05000,  1.04244295
 7226.05000,  1.03291071
 7227.05000,  1.02599903
 7228.05000,  1.01917666
 7229.05000,  1.00426682
 7230.05000,  0.99567408
 7231.05000,  0.97807101
 7232.05000,  0.96866177
 7233.05000,  0.96106866
 7234.05000,  0.95203780
 7235.05000,  0.94806274
 7236.05000,  0.94675209
 7237.05000,  0.94347807
 7238.05000,  0.93963381
 7239.05000,  0.93804317
 7240.05000,  0.93793816
 7241.05000,  0.94289635
 7242.05000,  0.94545956
 7243.05000,  0.94682673
 7244.05000,  0.95056057
 7245.05000,  0.96015852
 7246.05000,  0.96070934
 7247.05000,  0.96881414
 7248.05000,  0.96644612
 7249.05000,  0.96936704
 7250.05000,  0.96999106
 7251.05000,  0.97380490
 7252.05000,  0.97333577
 7253.05000,  0.97225063
 7254.05000,  0.97253360
 7255.05000,  0.96947278
 7256.05000,  0.96835165
 7257.05000,  0.96505369
 7258.05000,  0.97027341
 7259.05000,  0.97639830
 7260.05000,  0.97767684
 7261.05000,  0.98171713
 7262.05000,  0.98533507
 7263.05000,  1.03173816
 7264.05000,  1.01155651
 7265.05000,  0.96990217
 7266.05000,  0.99493974
 7267.05000,  1.00342167
 7268.05000,  1.00821409
 7269.05000,  1.00119324
 7270.05000,  1.01443459
 7271.05000,  1.01723213
 7272.05000,  1.02276610
 7273.05000,  1.02247287
 7274.05000,  1.02152458
 7275.05000,  1.02612393
 7276.05000,  1.03193381
 7277.05000,  1.03196537
 7278.05000,  1.03160499
 7279.05000,  1.03265948
 7280.05000,  1.03617910
 7281.05000,  1.03320277
 7282.05000,  1.04014916
 7283.05000,  1.04039544
 7284.05000,  1.04008696
 7285.05000,  1.04257179
 7286.05000,  1.04361031
 7287.05000,  1.04788516
 7288.05000,  1.04642650
 7289.05000,  1.04341616
 7290.05000,  1.03920269
 7291.05000,  1.03884712
 7292.05000,  1.03333732
 7293.05000,  1.02788229
 7294.05000,  1.02052706
 7295.05000,  1.01909422
 7296.05000,  1.00873767
 7297.05000,  1.00312284
 7298.05000,  0.99903614
 7299.05000,  0.99604323
 7300.05000,  0.99498741
 7301.05000,  0.98501563
 7302.05000,  0.98108470
 7303.05000,  0.97839836
 7304.05000,  0.97533015
 7305.05000,  0.97326196
 7306.05000,  0.97231471
 7307.05000,  0.96890505
 7308.05000,  0.96681506
 7309.05000,  0.96869413
 7310.05000,  0.96727653
 7311.05000,  0.96641463
 7312.05000,  0.96556734
