#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_flakydark_Fe_6.001: FeXANES_GT15_flakydark_Fe_6.001
#------------------------------------------
# energy, FeXANES_GT15_flakydark_Fe_6.001
 7177.05000,  1.04260188
 7178.05000,  1.04650915
 7179.05000,  1.04412589
 7180.05000,  1.04452729
 7181.05000,  1.04483356
 7182.05000,  1.04159182
 7183.05000,  1.04387570
 7184.05000,  1.04028333
 7185.05000,  1.03938654
 7186.05000,  1.03572735
 7187.05000,  1.03403193
 7188.05000,  1.03504018
 7189.05000,  1.02940613
 7190.05000,  1.02613953
 7191.05000,  1.02112113
 7192.05000,  1.01544731
 7193.05000,  1.01332096
 7194.05000,  1.00518963
 7195.05000,  1.00219146
 7196.05000,  0.99860438
 7197.05000,  0.99485870
 7198.05000,  0.99311554
 7199.05000,  0.99029655
 7200.05000,  0.98760236
 7201.05000,  0.98694203
 7202.05000,  0.98558037
 7203.05000,  0.98355861
 7204.05000,  0.98046414
 7205.05000,  0.98427004
 7206.05000,  0.98442946
 7207.05000,  0.98295625
 7208.05000,  0.98595271
 7209.05000,  0.98825817
 7210.05000,  0.98896227
 7211.05000,  0.98835302
 7212.05000,  0.98783364
 7213.05000,  0.98942608
 7214.05000,  0.99205918
 7215.05000,  0.99001093
 7216.05000,  0.99420343
 7217.05000,  0.99313876
 7218.05000,  0.99417824
 7219.05000,  0.99778716
 7220.05000,  0.99493058
 7221.05000,  0.99529471
 7222.05000,  0.99615514
 7223.05000,  0.99449890
 7224.05000,  0.99639248
 7225.05000,  0.99565167
 7226.05000,  0.99556110
 7227.05000,  0.99478707
 7228.05000,  0.99644115
 7229.05000,  0.99759508
 7230.05000,  0.99406398
 7231.05000,  0.99522828
 7232.05000,  0.99306134
 7233.05000,  0.99192154
 7234.05000,  0.99646192
 7235.05000,  0.99368925
 7236.05000,  0.99664480
 7237.05000,  0.99773136
 7238.05000,  1.00116565
 7239.05000,  1.00366853
 7240.05000,  1.00440220
 7241.05000,  1.00525727
 7242.05000,  1.01240871
 7243.05000,  1.01244468
 7244.05000,  1.01557235
 7245.05000,  1.01666830
 7246.05000,  1.01515547
 7247.05000,  1.02079700
 7248.05000,  1.01968063
 7249.05000,  1.01860810
 7250.05000,  1.01696974
 7251.05000,  1.01587015
 7252.05000,  1.01756358
 7253.05000,  1.01566215
 7254.05000,  1.01676621
 7255.05000,  1.02269531
 7256.05000,  1.01670428
 7257.05000,  1.01380354
 7258.05000,  1.01945512
 7259.05000,  1.01915930
 7260.05000,  1.01166334
 7261.05000,  1.01417467
 7262.05000,  1.01822368
 7263.05000,  1.03874494
 7264.05000,  1.04741645
 7265.05000,  0.99057745
 7266.05000,  1.00612242
 7267.05000,  1.00957321
 7268.05000,  1.00937056
 7269.05000,  1.00368107
 7270.05000,  1.00744497
 7271.05000,  1.00489651
 7272.05000,  1.00725780
 7273.05000,  1.00944235
 7274.05000,  1.00174677
 7275.05000,  1.00147571
 7276.05000,  0.99773845
 7277.05000,  0.99907513
 7278.05000,  0.99394752
 7279.05000,  0.99713570
 7280.05000,  1.00317242
 7281.05000,  0.99668742
 7282.05000,  0.99361199
 7283.05000,  0.98952198
 7284.05000,  0.99004349
 7285.05000,  0.99270243
 7286.05000,  0.99180965
 7287.05000,  0.99088341
 7288.05000,  0.98954014
 7289.05000,  0.99067258
 7290.05000,  0.99041498
 7291.05000,  0.99074009
 7292.05000,  0.98931841
 7293.05000,  0.99121978
 7294.05000,  0.99261177
 7295.05000,  0.99245054
 7296.05000,  0.99133225
 7297.05000,  0.99261893
 7298.05000,  0.99248295
 7299.05000,  0.99211965
 7300.05000,  0.99463865
 7301.05000,  0.99135105
 7302.05000,  0.99220069
 7303.05000,  0.99282603
 7304.05000,  0.99180727
 7305.05000,  0.99577179
 7306.05000,  0.99234496
 7307.05000,  0.99292240
 7308.05000,  0.99472754
 7309.05000,  0.99563857
 7310.05000,  0.99519026
 7311.05000,  0.99407653
 7312.05000,  0.99439735
