#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_Fe_Flaky1_5.001: FeXANES_GT5_Fe_Flaky1_5.001
#------------------------------------------
# energy, FeXANES_GT5_Fe_Flaky1_5.001
 7121.55000,  0.72188947
 7121.85000,  0.77414537
 7122.15000,  0.81265247
 7122.45000,  0.85578709
 7122.75000,  0.90089928
 7123.05000,  0.93526102
 7123.35000,  0.98860551
 7123.65000,  1.01385100
 7123.95000,  1.06091812
 7124.25000,  1.06970505
 7124.55000,  1.10496972
 7124.85000,  1.11954997
 7125.15000,  1.12635182
 7125.45000,  1.14363724
 7125.75000,  1.15828789
 7126.05000,  1.16776496
 7126.35000,  1.17602512
 7126.65000,  1.18501027
 7126.95000,  1.19872211
 7127.25000,  1.21558846
 7127.55000,  1.23850640
 7127.85000,  1.25720512
 7128.15000,  1.26315418
 7128.45000,  1.29198457
 7128.75000,  1.30901536
 7129.05000,  1.31437544
 7129.35000,  1.32047841
 7129.65000,  1.31820438
 7129.95000,  1.31148351
 7130.25000,  1.29812887
 7130.55000,  1.28363876
 7130.85000,  1.26623238
 7131.15000,  1.25020270
 7131.45000,  1.23313901
 7131.75000,  1.21829044
 7132.05000,  1.20313357
 7133.05000,  1.16224125
 7134.05000,  1.11674994
 7135.05000,  1.08194890
 7136.05000,  1.05484804
 7137.05000,  1.03256245
 7138.05000,  1.02621605
 7139.05000,  1.02702980
 7140.05000,  1.03544803
 7141.05000,  1.03808945
 7142.05000,  1.04124801
 7143.05000,  1.03222553
 7144.05000,  1.01515085
 7145.05000,  0.99759180
 7146.05000,  0.97527777
 7147.05000,  0.95519109
 7148.05000,  0.93850645
 7149.05000,  0.92477838
 7150.05000,  0.91648974
 7151.05000,  0.90541410
 7152.05000,  0.90675028
 7153.05000,  0.90974131
 7154.05000,  0.91326533
 7155.05000,  0.91865700
 7156.05000,  0.92631239
 7157.05000,  0.93111136
 7158.05000,  0.93479625
 7159.05000,  0.94077149
 7160.05000,  0.95081960
 7161.05000,  0.95664783
 7162.05000,  0.97253630
 7163.05000,  0.98105494
 7164.05000,  0.99009800
 7165.05000,  0.99928357
 7166.05000,  1.00724540
 7167.05000,  1.00805107
 7168.05000,  1.01080453
 7169.05000,  1.01085609
 7170.05000,  1.01195422
 7171.05000,  1.01048930
 7172.05000,  1.01868407
 7173.05000,  1.01953701
 7174.05000,  1.02657582
 7175.05000,  1.03271899
 7176.05000,  1.03644245
 7177.05000,  1.03752078
 7178.05000,  1.04412972
 7179.05000,  1.04354902
 7180.05000,  1.04466653
 7181.05000,  1.04721421
 7182.05000,  1.04513655
 7183.05000,  1.04324911
 7184.05000,  1.04888953
 7185.05000,  1.04253576
 7186.05000,  1.03919184
 7187.05000,  1.03762094
 7188.05000,  1.03449047
 7189.05000,  1.03453922
 7190.05000,  1.03579533
 7191.05000,  1.03118430
 7192.05000,  1.02616164
 7193.05000,  1.02407602
 7194.05000,  1.02030783
 7195.05000,  1.01731008
 7196.05000,  1.01477639
 7197.05000,  1.00947530
 7198.05000,  1.00711406
 7199.05000,  1.00347107
 7200.05000,  1.00127752
 7201.05000,  1.00123100
 7202.05000,  1.00054430
 7203.05000,  0.99708222
 7204.05000,  0.99528411
 7205.05000,  0.99458550
 7206.05000,  0.99140747
 7207.05000,  0.99080234
 7208.05000,  0.99309566
 7209.05000,  0.98912915
 7210.05000,  0.99000987
 7211.05000,  0.98966461
 7212.05000,  0.98817379
 7213.05000,  0.99079203
 7214.05000,  0.99107164
 7215.05000,  0.99118138
 7216.05000,  0.99353704
 7217.05000,  0.99580205
 7218.05000,  0.99262813
 7219.05000,  0.99020086
 7220.05000,  0.99395146
 7221.05000,  0.99402564
 7222.05000,  0.99536312
 7223.05000,  0.99396079
 7224.05000,  0.99394251
 7225.05000,  0.99335331
 7226.05000,  0.99190299
 7227.05000,  0.99203484
 7228.05000,  0.99228609
 7229.05000,  0.99034429
 7230.05000,  0.99107673
 7231.05000,  0.99250025
 7232.05000,  0.99210896
 7233.05000,  0.99030455
 7234.05000,  0.99233952
 7235.05000,  0.99456748
