#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_FeTiXRD_striated2_4.001: FeXANES_GT15_FeTiXRD_striated2_4.001
#------------------------------------------
# energy, FeXANES_GT15_FeTiXRD_striated2_4.001
 7131.75000,  1.21338405
 7132.05000,  1.20558593
 7133.05000,  1.18671692
 7134.05000,  1.16004735
 7135.05000,  1.12979074
 7136.05000,  1.11029711
 7137.05000,  1.09372313
 7138.05000,  1.08659320
 7139.05000,  1.07855356
 7140.05000,  1.06862308
 7141.05000,  1.06539852
 7142.05000,  1.05781985
 7143.05000,  1.04814109
 7144.05000,  1.04375224
 7145.05000,  1.03823315
 7146.05000,  1.03179216
 7147.05000,  1.01770664
 7148.05000,  1.00042125
 7149.05000,  0.98393974
 7150.05000,  0.96840284
 7151.05000,  0.95862804
 7152.05000,  0.95144176
 7153.05000,  0.94745532
 7154.05000,  0.94008867
 7155.05000,  0.93765384
 7156.05000,  0.93409459
 7157.05000,  0.93037916
 7158.05000,  0.93292031
 7159.05000,  0.92928243
 7160.05000,  0.93378966
 7161.05000,  0.93504548
 7162.05000,  0.94308817
 7163.05000,  0.94860351
 7164.05000,  0.94896950
 7165.05000,  0.96075474
 7166.05000,  0.96689119
 7167.05000,  0.97663509
 7168.05000,  0.97922891
 7169.05000,  0.98572312
 7170.05000,  0.99078017
 7171.05000,  0.99929387
 7172.05000,  1.00308370
 7173.05000,  1.01049331
 7174.05000,  1.01772727
 7175.05000,  1.02482663
 7176.05000,  1.02925929
 7177.05000,  1.03058332
 7178.05000,  1.03676223
 7179.05000,  1.03711790
 7180.05000,  1.04139548
 7181.05000,  1.04037502
 7182.05000,  1.04104074
 7183.05000,  1.04109835
 7184.05000,  1.03604198
 7185.05000,  1.03648678
 7186.05000,  1.03577510
 7187.05000,  1.03519921
 7188.05000,  1.03584186
 7189.05000,  1.03588767
 7190.05000,  1.03413358
 7191.05000,  1.02771004
 7192.05000,  1.02781550
 7193.05000,  1.02683290
 7194.05000,  1.02444781
 7195.05000,  1.02254901
 7196.05000,  1.01936584
 7197.05000,  1.01645671
 7198.05000,  1.01482222
 7199.05000,  1.01173637
 7200.05000,  1.00968855
 7201.05000,  1.00789239
 7202.05000,  1.00583179
 7203.05000,  1.00167294
 7204.05000,  0.99773593
 7205.05000,  0.99994923
 7206.05000,  1.00048451
 7207.05000,  0.99034976
 7208.05000,  0.99531354
 7209.05000,  0.99311843
 7210.05000,  0.99444156
 7211.05000,  0.99510629
 7212.05000,  0.99193188
 7213.05000,  0.99334295
 7214.05000,  0.99646538
 7215.05000,  0.99351743
 7216.05000,  0.99778240
 7217.05000,  0.99834799
 7218.05000,  0.99660295
 7219.05000,  0.99639187
 7220.05000,  1.00056918
 7221.05000,  0.99913762
 7222.05000,  0.99995436
 7223.05000,  1.00216221
 7224.05000,  0.99910941
 7225.05000,  1.00036703
 7226.05000,  0.99880324
 7227.05000,  0.99730033
 7228.05000,  1.00046183
 7229.05000,  0.99767072
 7230.05000,  0.99674532
 7231.05000,  0.99720575
 7232.05000,  0.99283254
 7233.05000,  0.99209914
 7234.05000,  0.99179230
 7235.05000,  0.98987352
 7236.05000,  0.99284331
 7237.05000,  0.98974858
 7238.05000,  0.99204529
 7239.05000,  0.99152563
 7240.05000,  0.99218175
 7241.05000,  0.99233847
 7242.05000,  0.99356636
 7243.05000,  0.99778960
 7244.05000,  1.00091599
 7245.05000,  0.99858966
 7246.05000,  0.99913619
 7247.05000,  1.00513528
 7248.05000,  1.00257887
 7249.05000,  1.00103974
