#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_Fe_13.001: FeXANES_GT5_flaky2_Fe_13.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_Fe_13.001
 7251.05000,  0.97596891
 7252.05000,  0.97969141
 7253.05000,  0.97818779
 7254.05000,  0.98380896
 7255.05000,  0.99277261
 7256.05000,  0.98744217
 7257.05000,  0.98902914
 7258.05000,  0.99416368
 7259.05000,  0.99769985
 7260.05000,  0.99715091
 7261.05000,  1.00262499
 7262.05000,  1.00778242
 7263.05000,  1.05238760
 7264.05000,  1.04070708
 7265.05000,  0.99086020
 7266.05000,  1.00427696
 7267.05000,  1.00905660
 7268.05000,  1.01434255
 7269.05000,  1.00788181
 7270.05000,  1.00798101
 7271.05000,  1.01204327
 7272.05000,  1.01494143
 7273.05000,  1.01374775
 7274.05000,  1.00377795
 7275.05000,  1.00475182
 7276.05000,  1.00380825
 7277.05000,  1.00484889
 7278.05000,  1.00598122
 7279.05000,  1.00668103
 7280.05000,  1.01190795
 7281.05000,  1.00677898
 7282.05000,  1.00688489
 7283.05000,  1.00516888
 7284.05000,  1.00445540
 7285.05000,  1.00362911
 7286.05000,  1.00300184
 7287.05000,  1.00149243
 7288.05000,  1.00165149
 7289.05000,  1.00131216
 7290.05000,  1.00104148
 7291.05000,  1.00215401
 7292.05000,  1.00149766
 7293.05000,  1.00191702
 7294.05000,  1.00169174
 7295.05000,  0.99741321
 7296.05000,  1.00046312
 7297.05000,  0.99613299
 7298.05000,  0.99785733
 7299.05000,  0.99943899
 7300.05000,  0.99902388
 7301.05000,  0.99574026
 7302.05000,  0.99876432
 7303.05000,  0.99692031
 7304.05000,  0.99608492
 7305.05000,  0.99671668
 7306.05000,  0.99603495
 7307.05000,  0.99552714
 7308.05000,  0.99530319
 7309.05000,  0.99515100
 7310.05000,  0.99448627
 7311.05000,  0.99462301
 7312.05000,  0.99403142
