#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_concentric_gray3_Fe_3.001: FeXANES_GT5_concentric_gray3_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT5_concentric_gray3_Fe_3.001
 7163.05000,  0.91015314
 7164.05000,  0.91953131
 7165.05000,  0.93016099
 7166.05000,  0.94622543
 7167.05000,  0.95961244
 7168.05000,  0.97141448
 7169.05000,  0.97819202
 7170.05000,  0.98261709
 7171.05000,  1.00076870
 7172.05000,  1.01160843
 7173.05000,  1.02563004
 7174.05000,  1.03767526
 7175.05000,  1.04856637
 7176.05000,  1.05988164
 7177.05000,  1.06549526
 7178.05000,  1.06595146
 7179.05000,  1.07193570
 7180.05000,  1.07362598
 7181.05000,  1.07725813
 7182.05000,  1.07787403
 7183.05000,  1.07905778
 7184.05000,  1.08105353
 7185.05000,  1.07451936
 7186.05000,  1.07332819
 7187.05000,  1.07440309
 7188.05000,  1.06860931
 7189.05000,  1.07212449
 7190.05000,  1.06839634
 7191.05000,  1.06365067
 7192.05000,  1.05766784
 7193.05000,  1.05477868
 7194.05000,  1.05266752
 7195.05000,  1.05212605
 7196.05000,  1.04924518
 7197.05000,  1.05097499
 7198.05000,  1.04367724
 7199.05000,  1.03961327
 7200.05000,  1.03907960
 7201.05000,  1.03494446
 7202.05000,  1.03324471
 7203.05000,  1.02921634
 7204.05000,  1.02548801
 7205.05000,  1.01743826
 7206.05000,  1.01710676
 7207.05000,  1.01590178
 7208.05000,  1.01217991
 7209.05000,  1.01223444
 7210.05000,  1.00967221
 7211.05000,  1.00655512
 7212.05000,  1.00679781
 7213.05000,  1.00374382
 7214.05000,  1.00376060
 7215.05000,  1.00259722
 7216.05000,  1.00150435
 7217.05000,  0.99908443
 7218.05000,  1.00145431
 7219.05000,  0.99371950
 7220.05000,  0.99321815
 7221.05000,  0.99385487
 7222.05000,  0.99204079
 7223.05000,  0.99060738
 7224.05000,  0.98969905
 7225.05000,  0.99162965
 7226.05000,  0.98794586
 7227.05000,  0.97747988
 7228.05000,  0.97875967
 7229.05000,  0.97730498
 7230.05000,  0.97485342
 7231.05000,  0.97678634
 7232.05000,  0.97381818
 7233.05000,  0.97265287
 7234.05000,  0.97073398
 7235.05000,  0.97003537
 7236.05000,  0.96264835
 7237.05000,  0.96362449
 7238.05000,  0.96105733
 7239.05000,  0.95710426
 7240.05000,  0.95862406
 7241.05000,  0.95811903
 7242.05000,  0.96078959
 7243.05000,  0.96588081
 7244.05000,  0.96676911
 7245.05000,  0.96947602
 7246.05000,  0.97122586
 7247.05000,  0.97853364
 7248.05000,  0.97040614
 7249.05000,  0.97280803
 7250.05000,  0.97950724
 7251.05000,  0.98993194
 7252.05000,  0.99209488
 7253.05000,  0.99354537
 7254.05000,  0.99177725
 7255.05000,  0.99865172
 7256.05000,  1.00422552
 7257.05000,  1.00956509
 7258.05000,  1.01159684
 7259.05000,  1.01822979
 7260.05000,  1.01769026
 7261.05000,  1.02631531
 7262.05000,  1.03354104
 7263.05000,  1.03840203
 7264.05000,  1.05297757
 7265.05000,  1.03525740
 7266.05000,  1.03481722
 7267.05000,  1.03546936
 7268.05000,  1.04069149
 7269.05000,  1.02603734
 7270.05000,  1.02721801
 7271.05000,  1.03027234
 7272.05000,  1.03106290
 7273.05000,  1.02675363
 7274.05000,  1.02461566
 7275.05000,  1.02253706
 7276.05000,  1.02327508
 7277.05000,  1.02266054
 7278.05000,  1.01946536
 7279.05000,  1.01806895
 7280.05000,  1.02639770
 7281.05000,  1.01053569
 7282.05000,  1.00869272
 7283.05000,  1.00623906
 7284.05000,  1.00531963
 7285.05000,  1.00148891
 7286.05000,  1.00002942
 7287.05000,  1.00219513
 7288.05000,  0.99860461
 7289.05000,  0.99682500
 7290.05000,  0.99538193
 7291.05000,  0.99571800
 7292.05000,  0.99492807
 7293.05000,  0.99346678
 7294.05000,  0.99757429
 7295.05000,  0.99533281
 7296.05000,  0.99636941
 7297.05000,  0.99004475
 7298.05000,  0.99277968
 7299.05000,  0.99303331
 7300.05000,  0.99470275
 7301.05000,  0.99394540
 7302.05000,  0.98582994
 7303.05000,  0.98698319
 7304.05000,  0.98408871
 7305.05000,  0.98435639
 7306.05000,  0.98224909
 7307.05000,  0.97680938
 7308.05000,  0.97503110
 7309.05000,  0.97403549
 7310.05000,  0.97439315
 7311.05000,  0.97553722
 7312.05000,  0.97406085
