#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT5_flaky2_FeXRD_1.001: FeXANES_GT5_flaky2_FeXRD_1.001
#------------------------------------------
# energy, FeXANES_GT5_flaky2_FeXRD_1.001
 7206.05000,  0.99460746
 7207.05000,  0.99400817
 7208.05000,  0.98975876
 7209.05000,  0.98803641
 7210.05000,  0.98794268
 7211.05000,  0.98824881
 7212.05000,  0.98561216
 7213.05000,  0.98705654
 7214.05000,  0.98541579
 7215.05000,  0.98397929
 7216.05000,  0.98614846
 7217.05000,  0.98955840
 7218.05000,  0.99132705
 7219.05000,  0.99050020
 7220.05000,  0.99478900
 7221.05000,  0.99705236
 7222.05000,  0.99709359
 7223.05000,  0.99719445
 7224.05000,  1.00025345
 7225.05000,  0.99708509
 7226.05000,  0.99713944
 7227.05000,  1.00011654
 7228.05000,  0.99234222
 7229.05000,  0.99194181
 7230.05000,  0.99046003
 7231.05000,  0.99094605
 7232.05000,  0.98812256
 7233.05000,  0.98681077
 7234.05000,  0.98252185
 7235.05000,  0.98256135
 7236.05000,  0.98204232
 7237.05000,  0.98018048
 7238.05000,  0.98114679
 7239.05000,  0.98100101
 7240.05000,  0.97845967
 7241.05000,  0.97898377
 7242.05000,  0.98172802
 7243.05000,  0.97936725
 7244.05000,  0.98192657
 7245.05000,  0.98489953
 7246.05000,  0.98712816
 7247.05000,  0.98841061
 7248.05000,  0.98973164
 7249.05000,  0.98850806
 7250.05000,  0.99001304
 7251.05000,  0.99232737
 7252.05000,  0.99464034
 7253.05000,  0.99784947
 7254.05000,  1.00176954
 7255.05000,  1.00443706
 7256.05000,  1.00643297
 7257.05000,  1.00414057
 7258.05000,  1.01003729
 7259.05000,  1.01179775
 7260.05000,  1.00664599
 7261.05000,  1.01302309
 7262.05000,  1.02219174
 7263.05000,  1.02701570
 7264.05000,  1.02494800
 7265.05000,  0.99141585
 7266.05000,  1.02240090
 7267.05000,  1.02301384
 7268.05000,  1.02399017
 7269.05000,  1.01665422
 7270.05000,  1.02233531
 7271.05000,  1.02210010
 7272.05000,  1.02721099
 7273.05000,  1.02147278
 7274.05000,  1.01605584
 7275.05000,  1.01773545
 7276.05000,  1.02107400
 7277.05000,  1.01932081
 7278.05000,  1.01488626
 7279.05000,  1.01355344
 7280.05000,  1.01843196
 7281.05000,  1.01436608
 7282.05000,  1.01041908
 7283.05000,  1.01091891
 7284.05000,  1.01022665
 7285.05000,  1.01209059
 7286.05000,  1.00221059
 7287.05000,  1.00212278
 7288.05000,  1.00454477
 7289.05000,  1.00186006
 7290.05000,  0.99995583
 7291.05000,  1.00345427
 7292.05000,  1.00168891
 7293.05000,  0.99939483
 7294.05000,  0.99956348
 7295.05000,  0.99670645
 7296.05000,  0.99369319
 7297.05000,  0.99124387
 7298.05000,  0.99453308
 7299.05000,  0.99462918
 7300.05000,  0.99115766
 7301.05000,  0.98886425
 7302.05000,  0.98805958
 7303.05000,  0.99135725
 7304.05000,  0.98895158
 7305.05000,  0.98758268
 7306.05000,  0.98613318
 7307.05000,  0.98460605
 7308.05000,  0.98824829
 7309.05000,  0.98388546
 7310.05000,  0.98740523
 7311.05000,  0.98707284
 7312.05000,  0.98868765
