#saved Fri Feb 13 15:41:47 2026
#saving x array=energy, y array=flat
#FeXANES_GT15_Fe_3.001: FeXANES_GT15_Fe_3.001
#------------------------------------------
# energy, FeXANES_GT15_Fe_3.001
 7297.05000,  0.99296703
 7298.05000,  0.99209537
 7299.05000,  0.99150051
 7300.05000,  0.99447925
 7301.05000,  0.99276230
 7302.05000,  0.99790554
 7303.05000,  0.99923786
 7304.05000,  0.99480130
 7305.05000,  0.99286048
 7306.05000,  0.99465302
 7307.05000,  0.99400186
 7308.05000,  0.99288876
 7309.05000,  0.99390069
 7310.05000,  0.99541899
 7311.05000,  0.99037138
 7312.05000,  0.99411618
