#saved Sat Mar  7 15:45:24 2026
#saving x array=energy, y array=norm
#goethite_fl_clean: goethite_fl_clean
#------------------------------------------
# energy, goethite_fl_clean
 7730.01611,  1.34841093
 7734.87842,  1.35130138
 7739.76025,  1.35390945
 7744.66211,  1.35674089
 7749.58350,  1.35993397
 7754.52441,  1.36272737
 7759.48486,  1.36607073
 7764.46484,  1.36950064
 7769.46484,  1.37257880
 7774.48438,  1.37615542
 7779.52344,  1.37921057
 7784.58203,  1.38225357
 7789.66016,  1.38557204
 7794.75781,  1.38850433
 7799.87549,  1.39161997
 7805.01270,  1.39503855
 7810.16943,  1.39799779
 7815.34570,  1.40110479
 7820.54199,  1.40421915
 7825.75732,  1.40722301
 7830.99268,  1.41021955
 7836.24756,  1.41347783
 7841.52197,  1.41664146
 7846.81592,  1.41997782
 7852.12988,  1.42354666
 7857.46338,  1.42690058
 7862.81641,  1.43014790
 7868.18896,  1.43399205
 7873.58105,  1.43822162
 7878.99268,  1.44203081
 7884.42432,  1.44576142
 7889.87549,  1.44957208
 7895.34619,  1.45297596
 7900.83643,  1.45620245
 7906.34668,  1.45968238
 7911.87598,  1.46306400
 7917.42529,  1.46644091
 7922.99414,  1.47009021
 7928.58252,  1.47355573
 7934.19043,  1.47725482
 7939.81836,  1.48074548
 7945.46582,  1.48435869
 7951.13281,  1.48793501
 7956.81934,  1.49162381
 7962.52539,  1.49530850
 7968.25098,  1.49899963
 7973.99658,  1.50281836
 7979.76172,  1.50661015
 7985.54639,  1.51038623
 7991.35059,  1.51410045
 7997.17480,  1.51796452
 8003.01807,  1.52168840
 8008.88135,  1.52565838
 8014.76416,  1.52953346
 8020.66650,  1.53333839
 8026.58838,  1.53698664
 8032.53027,  1.54049087
 8038.49170,  1.54422901
 8044.47217,  1.54827272
 8050.47314,  1.55221545
 8056.49316,  1.55579854
 8062.53271,  1.55981250
 8068.59229,  1.56368563
 8074.67139,  1.56767669
 8080.77002,  1.57142549
 8086.88818,  1.57536810
 8093.02588,  1.57931536
 8099.18359,  1.58334903
 8105.36084,  1.58753745
